domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
488496392775427878672438958169,503583616839921522544065463439,18,3,14,0,2,0,0,9,1,12,1,2.8,1.0,5.333333333333333,1.0,8,0,11,0,8,2,10,1,1,0.38095238095238093,0.4,0.38461538461538464,0.1,0.5,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.05555555555555555
488496392775427878672438958169,687043900068223558021716229937,22,3,18,0,2,0,0,5,1,17,1,2.142857142857143,1.0,10.0,1.0,4,0,14,0,11,4,15,1,1,0.5238095238095238,0.8,0.5769230769230769,0.1,0.5,0.6818181818181818,0.22727272727272727,0.9090909090909091,0.045454545454545456,0.045454545454545456
488496392775427878672438958169,276918129158041979869488606291,21,3,17,0,2,0,0,4,4,16,1,1.6666666666666667,1.5,9.5,1.0,3,3,13,0,9,5,14,1,1,0.42857142857142855,1.0,0.5384615384615384,0.1,0.5,0.47619047619047616,0.42857142857142855,0.9047619047619048,0.047619047619047616,0.047619047619047616
488496392775427878672438958169,234477220560865681329803909102,16,3,12,0,2,0,0,7,2,12,0,2.75,1.3333333333333333,7.5,0.0,6,1,9,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.6875,0.25,0.9375,0.0,0.0625
488496392775427878672438958169,912895704447775705589840016233,20,3,16,0,2,0,0,4,1,14,1,1.7142857142857142,1.0,6.0,1.0,3,0,13,0,9,3,12,1,1,0.42857142857142855,0.6,0.46153846153846156,0.1,0.5,0.6,0.3,0.9,0.05,0.05
488496392775427878672438958169,69547238131142359872634619309,20,3,16,0,2,0,0,4,1,16,0,2.0,1.0,9.5,0.0,3,0,13,0,10,5,15,0,1,0.47619047619047616,1.0,0.5769230769230769,0.0,0.5,0.7,0.25,0.95,0.0,0.05
488496392775427878672438958169,216267223143363243928980875930,18,3,14,0,2,0,0,6,3,13,1,2.2,1.6666666666666667,8.0,1.0,5,2,10,0,9,4,13,1,1,0.42857142857142855,0.8,0.5,0.1,0.5,0.6111111111111112,0.2777777777777778,0.8888888888888888,0.05555555555555555,0.05555555555555555
488496392775427878672438958169,659252111557849114527025876684,22,3,18,0,2,0,0,6,1,16,2,2.5,1.0,9.5,2.0,5,0,13,0,11,3,14,2,1,0.5238095238095238,0.6,0.5384615384615384,0.2,0.5,0.6818181818181818,0.18181818181818182,0.8636363636363636,0.09090909090909091,0.045454545454545456
488496392775427878672438958169,588570482358369570408639226982,16,3,12,0,2,0,0,5,1,11,1,2.2,1.0,7.0,1.0,4,0,8,0,8,3,11,1,1,0.38095238095238093,0.6,0.4230769230769231,0.1,0.5,0.6875,0.1875,0.875,0.0625,0.0625
488496392775427878672438958169,940287084125995524749758628097,20,3,16,0,2,0,0,6,1,16,0,2.0,1.0,9.5,0.0,5,0,13,0,10,4,14,0,1,0.47619047619047616,0.8,0.5384615384615384,0.0,0.5,0.7,0.25,0.95,0.0,0.05
