@RELATION bigviktor

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
595697130768765306372839937235,46914677870089700091130582704,25,3,17,3,3,0,0,3,1,6,0,1.4,1.0,4.2,0.0,2,0,3,0,9,3,12,0,2,0.42857142857142855,0.6,0.46153846153846156,0.0,1.0,0.56,0.28,0.84,0.0,0.16
567608904401080259832448071388,104068028768781542421206534661,24,6,13,3,3,0,0,3,2,13,0,1.4,1.1428571428571428,7.333333333333333,0.0,2,1,10,0,8,5,13,0,1,0.38095238095238093,1.0,0.5,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
934951244285990200277716230406,958340063771091481672191561411,23,3,19,0,2,0,0,3,1,19,0,1.75,1.0,11.0,0.0,2,0,16,0,11,4,15,0,1,0.5238095238095238,0.8,0.5769230769230769,0.0,0.5,0.6086956521739131,0.34782608695652173,0.9565217391304348,0.0,0.043478260869565216
586196340459614921533981033084,750875780777226366847697275536,23,8,14,0,2,0,0,5,1,14,0,2.2857142857142856,1.0,11.0,0.0,4,0,6,0,13,5,18,0,1,0.6190476190476191,1.0,0.6923076923076923,0.0,0.5,0.6956521739130435,0.2608695652173913,0.9565217391304348,0.0,0.043478260869565216
947505893150064107596973080559,564041138905174840243550404866,23,3,13,5,3,0,0,4,2,13,1,1.75,1.2,6.666666666666667,1.0,3,1,10,0,8,5,13,1,1,0.38095238095238093,1.0,0.5,0.1,0.5,0.6086956521739131,0.2608695652173913,0.8695652173913043,0.043478260869565216,0.08695652173913043
164890544466941896389037254793,677694268933046450727395503412,18,4,13,0,2,0,0,3,2,13,0,2.0,1.4,8.5,0.0,2,1,9,0,8,5,13,0,1,0.38095238095238093,1.0,0.5,0.0,0.5,0.5555555555555556,0.3888888888888889,0.9444444444444444,0.0,0.05555555555555555
138446055745239077328577009203,208452379372184006481487144220,25,6,18,0,2,0,0,3,2,18,0,2.0,1.3333333333333333,12.0,0.0,2,1,12,0,8,4,12,0,1,0.38095238095238093,0.8,0.46153846153846156,0.0,0.5,0.64,0.32,0.96,0.0,0.04
475501876010093087575039758866,315344250066688011885986606786,24,8,15,0,2,0,0,4,2,15,0,1.6666666666666667,1.1428571428571428,11.5,0.0,3,1,7,0,11,4,15,0,1,0.5238095238095238,0.8,0.5769230769230769,0.0,0.5,0.625,0.3333333333333333,0.9583333333333334,0.0,0.041666666666666664
947505893150064107596973080559,761480364844840062145118666703,22,3,18,0,2,0,0,3,2,18,0,1.4444444444444444,1.1428571428571428,10.5,0.0,2,1,15,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.5909090909090909,0.36363636363636365,0.9545454545454546,0.0,0.045454545454545456
947505893150064107596973080559,871931887017020319678417318313,27,3,23,0,2,0,0,3,2,13,0,1.6,1.125,8.333333333333334,0.0,2,1,10,0,9,5,14,0,2,0.42857142857142855,1.0,0.5384615384615384,0.0,1.0,0.5925925925925926,0.3333333333333333,0.9259259259259259,0.0,0.07407407407407407
