domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
328970105063611084508420662788,216193426084930853691230865664,20,3,16,0,2,0,0,4,1,9,1,2.0,1.0,3.2,1.0,3,0,8,0,9,3,12,3,1,0.42857142857142855,0.6,0.46153846153846156,0.3,0.5,0.6,0.2,0.8,0.15,0.05
488496392775427878672438958169,409979434583191178311647320701,20,3,16,0,2,0,0,6,3,6,1,2.2,1.5,4.25,1.0,5,2,3,0,9,3,12,2,1,0.42857142857142855,0.6,0.46153846153846156,0.2,0.5,0.55,0.3,0.85,0.1,0.05
488496392775427878672438958169,261264435923194560242536035864,20,3,16,0,2,0,0,4,1,6,1,2.3333333333333335,1.0,4.25,1.0,3,0,3,0,12,3,15,2,1,0.5714285714285714,0.6,0.5769230769230769,0.2,0.5,0.7,0.15,0.85,0.1,0.05
307557349522485967192156168435,424881694378413227001550213759,20,3,16,0,2,0,0,8,1,8,3,3.75,1.0,5.333333333333333,3.0,7,0,5,0,10,1,11,3,1,0.47619047619047616,0.2,0.4230769230769231,0.3,0.5,0.75,0.05,0.8,0.15,0.05
160886204309285664577636993580,799985975939114923808718924456,19,2,16,0,2,0,0,5,1,10,1,2.8,1.0,5.666666666666667,1.0,4,0,8,0,8,2,10,1,1,0.38095238095238093,0.4,0.38461538461538464,0.1,0.5,0.7368421052631579,0.15789473684210525,0.8947368421052632,0.05263157894736842,0.05263157894736842
164890544466941896389037254793,919278256565884923601635819543,21,4,16,0,2,0,0,4,1,4,2,2.0,1.0,2.3333333333333335,1.2,3,0,3,1,9,2,11,5,1,0.42857142857142855,0.4,0.4230769230769231,0.5,0.5,0.5714285714285714,0.09523809523809523,0.6666666666666666,0.2857142857142857,0.047619047619047616
488496392775427878672438958169,172332624176649861093765551999,20,3,16,0,2,0,0,5,1,9,1,2.5,1.0,4.25,1.0,4,0,8,0,11,2,13,2,1,0.5238095238095238,0.4,0.5,0.2,0.5,0.75,0.1,0.85,0.1,0.05
328970105063611084508420662788,359737207220195253260796395046,20,3,16,0,2,0,0,2,2,3,2,1.3333333333333333,1.5,1.8333333333333333,1.3333333333333333,1,1,2,1,7,2,9,6,1,0.3333333333333333,0.4,0.34615384615384615,0.6,0.5,0.4,0.15,0.55,0.4,0.05
160886204309285664577636993580,553323834103709471565702642938,19,2,16,0,2,0,0,6,1,6,1,3.5,1.0,3.75,1.0,5,0,4,0,10,1,11,3,1,0.47619047619047616,0.2,0.4230769230769231,0.3,0.5,0.7368421052631579,0.05263157894736842,0.7894736842105263,0.15789473684210525,0.05263157894736842
164890544466941896389037254793,210380906171421825429933266266,21,4,16,0,2,0,0,4,1,10,1,2.0,1.0,4.25,1.0,3,0,9,0,10,4,14,2,1,0.47619047619047616,0.8,0.5384615384615384,0.2,0.5,0.5714285714285714,0.23809523809523808,0.8095238095238095,0.14285714285714285,0.047619047619047616
307557349522485967192156168435,715840382178767671796262450320,20,3,16,0,2,0,0,3,1,4,1,1.5714285714285714,1.0,2.5,1.0,2,0,3,0,8,2,10,4,1,0.38095238095238093,0.4,0.38461538461538464,0.4,0.5,0.55,0.2,0.75,0.2,0.05
