@RELATION dyre

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
72957489326081066116164949726,280175236468512762118201872804,37,2,34,0,2,0,0,1,2,2,7,1.0,1.25,1.3333333333333333,3.0,0,1,1,6,5,3,8,9,1,0.23809523809523808,0.6,0.3076923076923077,0.9,0.5,0.1891891891891892,0.13513513513513514,0.32432432432432434,0.6486486486486487,0.02702702702702703
72957489326081066116164949726,554572777080656098397485053314,37,2,34,0,2,0,0,2,2,3,4,1.1,1.2,1.8888888888888888,2.375,1,1,2,3,6,2,8,7,1,0.2857142857142857,0.4,0.3076923076923077,0.7,0.5,0.2972972972972973,0.16216216216216217,0.4594594594594595,0.5135135135135135,0.02702702702702703
656688357151183891098133087652,205522083555517687394943707590,37,2,34,0,2,0,0,2,1,6,4,1.3,1.0,1.8888888888888888,2.375,1,0,5,3,7,2,9,10,1,0.3333333333333333,0.4,0.34615384615384615,1.0,0.5,0.35135135135135137,0.10810810810810811,0.4594594594594595,0.5135135135135135,0.02702702702702703
696994516237308992498626216687,396839120354979266616665390867,37,2,34,0,2,0,0,3,3,3,5,1.5,1.5714285714285714,1.8181818181818181,1.7777777777777777,2,2,2,4,4,3,7,7,1,0.19047619047619047,0.6,0.2692307692307692,0.7,0.5,0.24324324324324326,0.2972972972972973,0.5405405405405406,0.43243243243243246,0.02702702702702703
656688357151183891098133087652,692065709413781114139640815907,37,2,34,0,2,0,0,3,1,3,7,1.7142857142857142,1.0,1.625,3.8333333333333335,2,0,2,6,7,1,8,10,1,0.3333333333333333,0.2,0.3076923076923077,1.0,0.5,0.32432432432432434,0.02702702702702703,0.35135135135135137,0.6216216216216216,0.02702702702702703
696994516237308992498626216687,983753430792464318583245280052,37,2,34,0,2,0,0,2,1,3,5,1.3,1.0,1.7,2.111111111111111,1,0,2,4,5,3,8,9,1,0.23809523809523808,0.6,0.3076923076923077,0.9,0.5,0.35135135135135137,0.10810810810810811,0.4594594594594595,0.5135135135135135,0.02702702702702703
845883886282976858391389237524,878262363186556852171083353919,37,2,34,0,2,0,0,2,1,2,6,1.0833333333333333,1.0,1.1666666666666667,2.0,1,0,1,5,6,1,7,10,1,0.2857142857142857,0.2,0.2692307692307692,1.0,0.5,0.35135135135135137,0.02702702702702703,0.3783783783783784,0.5945945945945946,0.02702702702702703
845883886282976858391389237524,738724988976352688176115818095,37,2,34,0,2,0,0,2,1,2,4,1.1111111111111112,1.0,1.2727272727272727,2.2,1,0,1,3,6,3,9,9,1,0.2857142857142857,0.6,0.34615384615384615,0.9,0.5,0.2702702702702703,0.10810810810810811,0.3783783783783784,0.5945945945945946,0.02702702702702703
30436212041357298288209637202,840684387173849425693065854840,37,2,34,0,2,0,0,2,1,3,5,1.2222222222222223,1.0,1.6,2.5,1,0,2,4,5,1,6,9,1,0.23809523809523808,0.2,0.23076923076923078,0.9,0.5,0.2972972972972973,0.13513513513513514,0.43243243243243246,0.5405405405405406,0.02702702702702703
481866149377267079079998100274,177158227043515449904040131246,37,2,34,0,2,0,0,2,1,2,11,1.5,1.0,1.625,3.2857142857142856,1,0,1,10,7,2,9,9,1,0.3333333333333333,0.4,0.34615384615384615,0.9,0.5,0.24324324324324326,0.10810810810810811,0.35135135135135137,0.6216216216216216,0.02702702702702703
696994516237308992498626216687,545373893518533355417623992838,37,2,34,0,2,0,0,3,1,3,6,1.5555555555555556,1.0,1.7777777777777777,2.857142857142857,2,0,2,5,6,2,8,9,1,0.2857142857142857,0.4,0.3076923076923077,0.9,0.5,0.3783783783783784,0.05405405405405406,0.43243243243243246,0.5405405405405406,0.02702702702702703
213593697694220319928431725445,493196649104458469128371631221,37,2,34,0,2,0,0,3,1,3,4,1.5555555555555556,1.0,2.0,2.0,2,0,2,3,6,3,9,8,1,0.2857142857142857,0.6,0.34615384615384615,0.8,0.5,0.3783783783783784,0.16216216216216217,0.5405405405405406,0.43243243243243246,0.02702702702702703
656688357151183891098133087652,633390250246809850605563085168,37,2,34,0,2,0,0,2,2,2,7,1.1666666666666667,1.5,1.25,3.7142857142857144,1,1,1,6,6,2,8,10,1,0.2857142857142857,0.4,0.3076923076923077,1.0,0.5,0.1891891891891892,0.08108108108108109,0.2702702702702703,0.7027027027027027,0.02702702702702703
72957489326081066116164949726,777895579345396334466155598707,37,2,34,0,2,0,0,4,1,4,7,1.375,1.0,1.75,3.142857142857143,3,0,3,6,6,3,9,9,1,0.2857142857142857,0.6,0.34615384615384615,0.9,0.5,0.2972972972972973,0.08108108108108109,0.3783783783783784,0.5945945945945946,0.02702702702702703
845883886282976858391389237524,768452405600051518401831466125,37,2,34,0,2,0,0,2,1,3,8,1.1111111111111112,1.0,1.4444444444444444,3.2857142857142856,1,0,2,7,5,3,8,9,1,0.23809523809523808,0.6,0.3076923076923077,0.9,0.5,0.2702702702702703,0.08108108108108109,0.35135135135135137,0.6216216216216216,0.02702702702702703
30436212041357298288209637202,429092471082291615578841653137,37,2,34,0,2,0,0,2,1,3,7,1.1111111111111112,1.0,1.5555555555555556,2.75,1,0,2,6,6,2,8,10,1,0.2857142857142857,0.4,0.3076923076923077,1.0,0.5,0.2702702702702703,0.10810810810810811,0.3783783783783784,0.5945945945945946,0.02702702702702703
656688357151183891098133087652,405609106895921055791351805662,37,2,34,0,2,0,0,2,1,2,6,1.1666666666666667,1.0,1.1818181818181819,2.5555555555555554,1,0,1,5,7,2,9,8,1,0.3333333333333333,0.4,0.34615384615384615,0.8,0.5,0.1891891891891892,0.16216216216216217,0.35135135135135137,0.6216216216216216,0.02702702702702703
30436212041357298288209637202,380035580853227073787553742480,37,2,34,0,2,0,0,2,2,2,11,1.2857142857142858,1.5,1.3333333333333333,3.4285714285714284,1,1,1,10,5,2,7,8,1,0.23809523809523808,0.4,0.2692307692307692,0.8,0.5,0.24324324324324326,0.08108108108108109,0.32432432432432434,0.6486486486486487,0.02702702702702703
481866149377267079079998100274,58985510356150341915152046259,37,2,34,0,2,0,0,2,1,3,5,1.2,1.0,1.5,1.6363636363636365,1,0,2,4,5,3,8,8,1,0.23809523809523808,0.6,0.3076923076923077,0.8,0.5,0.32432432432432434,0.16216216216216217,0.4864864864864865,0.4864864864864865,0.02702702702702703
72957489326081066116164949726,80800177169959380879356096046,37,2,34,0,2,0,0,2,1,3,6,1.1666666666666667,1.0,1.375,3.5714285714285716,1,0,2,5,5,4,9,10,1,0.23809523809523808,0.8,0.34615384615384615,1.0,0.5,0.1891891891891892,0.10810810810810811,0.2972972972972973,0.6756756756756757,0.02702702702702703
845883886282976858391389237524,832772595642579653481153163873,37,2,34,0,2,0,0,1,2,3,4,1.0,1.1111111111111112,1.4545454545454546,2.2222222222222223,0,1,2,3,4,3,7,7,1,0.19047619047619047,0.6,0.2692307692307692,0.7,0.5,0.16216216216216217,0.2702702702702703,0.43243243243243246,0.5405405405405406,0.02702702702702703
72957489326081066116164949726,610456720146461879575101994540,37,2,34,0,2,0,0,3,2,3,11,1.4285714285714286,1.6666666666666667,1.6666666666666667,2.625,2,1,2,10,6,3,9,9,1,0.2857142857142857,0.6,0.34615384615384615,0.9,0.5,0.2702702702702703,0.13513513513513514,0.40540540540540543,0.5675675675675675,0.02702702702702703
911289451483312220212831417777,979327106096378368396741541735,37,2,34,0,2,0,0,2,3,3,4,1.5,1.6666666666666667,1.7,2.111111111111111,1,2,2,3,5,2,7,8,1,0.23809523809523808,0.4,0.2692307692307692,0.8,0.5,0.32432432432432434,0.13513513513513514,0.4594594594594595,0.5135135135135135,0.02702702702702703
213593697694220319928431725445,757135790345419443244296499653,37,2,34,0,2,0,0,4,1,4,9,1.8571428571428572,1.0,1.6666666666666667,3.0,3,0,3,8,6,2,8,9,1,0.2857142857142857,0.4,0.3076923076923077,0.9,0.5,0.35135135135135137,0.05405405405405406,0.40540540540540543,0.5675675675675675,0.02702702702702703
845883886282976858391389237524,164845459284047349989139370999,37,2,34,0,2,0,0,3,1,5,6,1.2222222222222223,1.0,1.7,2.111111111111111,2,0,4,5,6,3,9,8,1,0.2857142857142857,0.6,0.34615384615384615,0.8,0.5,0.2972972972972973,0.16216216216216217,0.4594594594594595,0.5135135135135135,0.02702702702702703
72957489326081066116164949726,228716575866581177108189856987,37,2,34,0,2,0,0,1,2,3,4,1.0,1.3333333333333333,1.5454545454545454,1.9,0,1,2,3,4,3,7,7,1,0.19047619047619047,0.6,0.2692307692307692,0.7,0.5,0.13513513513513514,0.32432432432432434,0.4594594594594595,0.5135135135135135,0.02702702702702703
696994516237308992498626216687,12913538498876332463774032376,37,2,34,0,2,0,0,3,2,3,5,1.2857142857142858,1.125,1.6363636363636365,2.0,2,1,2,4,5,3,8,10,1,0.23809523809523808,0.6,0.3076923076923077,1.0,0.5,0.24324324324324326,0.24324324324324326,0.4864864864864865,0.4864864864864865,0.02702702702702703
911289451483312220212831417777,530420666474131904503352325222,37,2,34,0,2,0,0,2,1,2,8,1.1428571428571428,1.0,1.2222222222222223,3.125,1,0,1,7,2,2,4,9,1,0.09523809523809523,0.4,0.15384615384615385,0.9,0.5,0.21621621621621623,0.08108108108108109,0.2972972972972973,0.6756756756756757,0.02702702702702703
656688357151183891098133087652,136008450136602126556822974017,37,2,34,0,2,0,0,4,1,4,5,1.4444444444444444,1.0,1.3636363636363635,2.3333333333333335,3,0,3,4,6,2,8,8,1,0.2857142857142857,0.4,0.3076923076923077,0.8,0.5,0.35135135135135137,0.05405405405405406,0.40540540540540543,0.5675675675675675,0.02702702702702703
