domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
307557349522485967192156168435,76245286968285231391859015494,14,3,10,0,2,0,0,1,1,3,4,1.0,1.0,1.5,2.3333333333333335,0,0,2,3,3,2,5,5,1,0.14285714285714285,0.4,0.19230769230769232,0.5,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142
164890544466941896389037254793,79251919522213935880351393163,15,4,10,0,2,0,0,2,1,4,2,1.75,1.0,2.25,1.25,1,0,3,1,4,2,6,5,1,0.19047619047619047,0.4,0.23076923076923078,0.5,0.5,0.4666666666666667,0.13333333333333333,0.6,0.3333333333333333,0.06666666666666667
488496392775427878672438958169,394641658105038772986224532240,14,3,10,0,2,0,0,3,1,4,2,1.5,1.0,3.0,1.3333333333333333,2,0,2,1,4,2,6,3,1,0.19047619047619047,0.4,0.23076923076923078,0.3,0.5,0.42857142857142855,0.21428571428571427,0.6428571428571429,0.2857142857142857,0.07142857142857142
328970105063611084508420662788,155463846292025352284023745313,14,3,10,0,2,0,0,1,2,3,2,1.0,1.3333333333333333,1.6,1.6666666666666667,0,1,2,1,4,2,6,3,1,0.19047619047619047,0.4,0.23076923076923078,0.3,0.5,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.07142857142857142
328970105063611084508420662788,499798429239297255630181165923,14,3,10,0,2,0,0,1,1,3,3,1.0,1.0,1.75,2.0,0,0,2,2,4,2,6,5,1,0.19047619047619047,0.4,0.23076923076923078,0.5,0.5,0.2857142857142857,0.21428571428571427,0.5,0.42857142857142855,0.07142857142857142
595697130768765306372839937235,511031406216500919061862606296,14,3,10,0,2,0,0,2,1,3,1,1.5,1.0,2.25,1.0,1,0,2,0,5,2,7,4,1,0.23809523809523808,0.4,0.2692307692307692,0.4,0.5,0.42857142857142855,0.21428571428571427,0.6428571428571429,0.2857142857142857,0.07142857142857142
164890544466941896389037254793,335843440835960734670941163301,15,4,10,0,2,0,0,2,1,4,3,2.0,1.0,2.0,2.0,0,0,3,2,4,3,7,5,1,0.19047619047619047,0.6,0.2692307692307692,0.5,0.5,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.4,0.06666666666666667
328970105063611084508420662788,750874417419116655743158609258,14,3,10,0,2,0,0,2,1,3,3,1.25,1.0,2.0,2.5,1,0,2,1,4,2,6,5,1,0.19047619047619047,0.4,0.23076923076923078,0.5,0.5,0.35714285714285715,0.21428571428571427,0.5714285714285714,0.35714285714285715,0.07142857142857142
595697130768765306372839937235,226676479004823597722041095310,14,3,10,0,2,0,0,4,1,5,2,2.3333333333333335,1.0,3.0,1.3333333333333333,3,0,4,1,4,2,6,3,1,0.19047619047619047,0.4,0.23076923076923078,0.3,0.5,0.5,0.14285714285714285,0.6428571428571429,0.2857142857142857,0.07142857142857142
696994516237308992498626216687,858488586869555374807355469471,13,2,10,0,2,0,0,1,1,2,4,1.0,1.0,1.6666666666666667,2.3333333333333335,0,0,1,3,3,2,5,6,1,0.14285714285714285,0.4,0.19230769230769232,0.6,0.5,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.5384615384615384,0.07692307692307693
488496392775427878672438958169,129798001531190159231654869804,14,3,10,0,2,0,0,1,1,3,5,1.0,1.0,2.0,4.5,0,0,2,1,2,2,4,6,1,0.09523809523809523,0.4,0.15384615384615385,0.6,0.5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.6428571428571429,0.07142857142857142
328970105063611084508420662788,833973905160440511790318735045,14,3,10,0,2,0,0,1,1,3,4,1.0,1.0,1.6666666666666667,2.6666666666666665,0,0,2,3,3,2,5,7,1,0.14285714285714285,0.4,0.19230769230769232,0.7,0.5,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.07142857142857142
164890544466941896389037254793,176111556825693629447095995341,15,4,10,0,2,0,0,2,1,4,4,1.6666666666666667,1.0,2.6666666666666665,3.0,1,0,3,2,3,3,6,5,1,0.14285714285714285,0.6,0.23076923076923078,0.5,0.5,0.3333333333333333,0.2,0.5333333333333333,0.4,0.06666666666666667
696994516237308992498626216687,841291012875808102342404624921,13,2,10,0,2,0,0,4,1,5,1,1.75,1.0,2.25,1.0,3,0,4,0,4,2,6,3,1,0.19047619047619047,0.4,0.23076923076923078,0.3,0.5,0.5384615384615384,0.15384615384615385,0.6923076923076923,0.23076923076923078,0.07692307692307693
595697130768765306372839937235,319732245349772885225338511610,14,3,10,0,2,0,0,2,1,3,10,2.0,1.0,3.0,10.0,0,0,0,0,2,1,3,9,1,0.09523809523809523,0.2,0.11538461538461539,0.9,0.5,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.7142857142857143,0.07142857142857142
328970105063611084508420662788,942776137836744814392350887570,14,3,10,0,2,0,0,1,2,3,3,1.0,1.3333333333333333,1.75,2.0,0,1,2,2,3,2,5,5,1,0.14285714285714285,0.4,0.19230769230769232,0.5,0.5,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855,0.07142857142857142
164890544466941896389037254793,885878711745472163811659787967,15,4,10,0,2,0,0,2,1,4,2,1.4,1.0,2.0,1.3333333333333333,1,0,3,1,4,3,7,4,1,0.19047619047619047,0.6,0.2692307692307692,0.4,0.5,0.4666666666666667,0.2,0.6666666666666666,0.26666666666666666,0.06666666666666667
328970105063611084508420662788,688404702369225669855095475254,14,3,10,0,2,0,0,1,1,3,5,1.0,1.0,1.6666666666666667,2.6666666666666665,0,0,2,4,4,1,5,6,1,0.19047619047619047,0.2,0.19230769230769232,0.6,0.5,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.5714285714285714,0.07142857142857142
595697130768765306372839937235,540329284422472400045146803939,14,3,10,0,2,0,0,2,1,3,2,2.0,1.0,2.0,1.6666666666666667,0,0,2,1,3,2,5,5,1,0.14285714285714285,0.4,0.19230769230769232,0.5,0.5,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.35714285714285715,0.07142857142857142
696994516237308992498626216687,775921483440606454893971353719,13,2,10,0,2,0,0,3,1,3,5,1.6666666666666667,1.0,2.0,3.0,2,0,2,4,4,1,5,5,1,0.19047619047619047,0.2,0.19230769230769232,0.5,0.5,0.38461538461538464,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693
488496392775427878672438958169,222810098915711575463824577504,14,3,10,0,2,0,0,1,1,3,3,1.0,1.0,1.5,2.3333333333333335,0,0,2,2,4,2,6,6,1,0.19047619047619047,0.4,0.23076923076923078,0.6,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142
595697130768765306372839937235,759410520415894457310682148163,14,3,10,0,2,0,0,3,1,4,2,2.0,1.0,2.25,1.3333333333333333,2,0,3,1,4,3,7,3,1,0.19047619047619047,0.6,0.2692307692307692,0.3,0.5,0.42857142857142855,0.21428571428571427,0.6428571428571429,0.2857142857142857,0.07142857142857142
696994516237308992498626216687,701656158011170388584879286359,13,2,10,0,2,0,0,2,2,3,2,1.5,1.25,2.0,1.3333333333333333,1,1,2,1,2,2,4,4,1,0.09523809523809523,0.4,0.15384615384615385,0.4,0.5,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.3076923076923077,0.07692307692307693
595697130768765306372839937235,256582007451149896582908515526,14,3,10,0,2,0,0,2,1,3,3,1.3333333333333333,1.0,2.0,1.6666666666666667,1,0,2,2,4,3,7,3,1,0.19047619047619047,0.6,0.2692307692307692,0.3,0.5,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.07142857142857142
307557349522485967192156168435,494587224521511594217800962332,14,3,10,0,2,0,0,1,1,3,6,1.0,1.0,1.6666666666666667,4.0,0,0,2,4,3,2,5,7,1,0.14285714285714285,0.4,0.19230769230769232,0.7,0.5,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.07142857142857142
307557349522485967192156168435,78426294676422036818944879636,14,3,10,0,2,0,0,1,1,3,3,1.0,1.0,1.5,1.75,0,0,2,2,3,2,5,6,1,0.14285714285714285,0.4,0.19230769230769232,0.6,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142
488496392775427878672438958169,137682048715181824323410618089,14,3,10,0,2,0,0,1,1,3,4,1.0,1.0,1.6666666666666667,2.6666666666666665,0,0,2,3,3,2,5,6,1,0.14285714285714285,0.4,0.19230769230769232,0.6,0.5,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.07142857142857142
164890544466941896389037254793,221094143910261512170581423788,15,4,10,0,2,0,0,2,1,4,3,1.3333333333333333,1.0,1.75,1.75,1,0,3,2,3,3,6,6,1,0.14285714285714285,0.6,0.23076923076923078,0.6,0.5,0.26666666666666666,0.2,0.4666666666666667,0.4666666666666667,0.06666666666666667
696994516237308992498626216687,450448987879314384237270509929,13,2,10,0,2,0,0,1,1,2,5,1.0,1.0,1.3333333333333333,2.6666666666666665,0,0,1,4,3,1,4,5,1,0.14285714285714285,0.2,0.15384615384615385,0.5,0.5,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.07692307692307693
488496392775427878672438958169,338830756374306931811801153001,14,3,10,0,2,0,0,1,2,3,2,1.0,1.3333333333333333,1.6,1.6666666666666667,0,1,2,1,4,2,6,4,1,0.19047619047619047,0.4,0.23076923076923078,0.4,0.5,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.07142857142857142
595697130768765306372839937235,752324036489655340130315316793,14,3,10,0,2,0,0,2,2,3,4,1.5,1.5,2.0,2.3333333333333335,1,1,2,3,3,3,6,6,1,0.14285714285714285,0.6,0.23076923076923078,0.6,0.5,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.5,0.07142857142857142
595697130768765306372839937235,185448012629409870931531980919,14,3,10,0,2,0,0,2,1,3,4,1.3333333333333333,1.0,2.0,3.5,1,0,2,1,3,2,5,5,1,0.14285714285714285,0.4,0.19230769230769232,0.5,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142
