@RELATION locky

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
447357313785405254497451291104,774814864390500017077219637439,20,4,15,0,2,0,0,10,1,15,0,4.0,1.0,9.5,0,9,0,11,0,13,2,15,0,1,0.6190476190476191,0.4,0.5769230769230769,0.0,0.5,0.8,0.15,0.95,0.0,0.05
595697130768765306372839937235,289639687572694871768798450923,14,3,10,0,2,0,0,4,1,10,0,3.3333333333333335,1.0,6.5,0,2,0,7,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7142857142857143,0.21428571428571427,0.9285714285714286,0.0,0.07142857142857142
595697130768765306372839937235,128314943214589096833721333285,16,3,12,0,2,0,0,6,1,12,0,3.0,1.0,7.5,0,5,0,9,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.75,0.1875,0.9375,0.0,0.0625
681701084366935956986898572723,835452557923777060523806293210,16,2,13,0,2,0,0,8,1,13,0,3.0,1.0,7.5,0,7,0,11,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.75,0.1875,0.9375,0.0,0.0625
632041280290379723695626884185,16863615172086973757794699321,19,2,16,0,2,0,0,6,1,16,0,3.75,1.0,9.0,0,4,0,14,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.7894736842105263,0.15789473684210525,0.9473684210526315,0.0,0.05263157894736842
164890544466941896389037254793,382189932516750378337334671598,22,4,17,0,2,0,0,10,1,17,0,5.666666666666667,1.0,10.5,0,8,0,13,0,12,3,15,0,1,0.5714285714285714,0.6,0.5769230769230769,0.0,0.5,0.7727272727272727,0.18181818181818182,0.9545454545454546,0.0,0.045454545454545456
595697130768765306372839937235,240816610425236723051440039569,17,3,13,0,2,0,0,5,1,13,0,3.25,1.0,8.0,0,3,0,10,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.7647058823529411,0.17647058823529413,0.9411764705882353,0.0,0.058823529411764705
160886204309285664577636993580,11226053947889980880074624177,15,2,12,0,2,0,0,4,1,12,0,2.0,1.0,7.0,0,3,0,10,0,6,2,8,0,1,0.2857142857142857,0.4,0.3076923076923077,0.0,0.5,0.6666666666666666,0.26666666666666666,0.9333333333333333,0.0,0.06666666666666667
151943258454351205728260177971,237225995052388701416329138488,13,5,7,0,2,0,0,5,1,7,0,2.5,1.0,6.0,0,4,0,2,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7692307692307693,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693
447357313785405254497451291104,22635035961440872534562329920,22,4,17,0,2,0,0,6,1,17,0,2.8333333333333335,1.0,10.5,0,5,0,13,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.7727272727272727,0.18181818181818182,0.9545454545454546,0.0,0.045454545454545456
160886204309285664577636993580,436970631789471194359857841406,15,2,12,0,2,0,0,4,2,12,0,2.0,1.5,7.0,0,3,1,10,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5333333333333333,0.4,0.9333333333333333,0.0,0.06666666666666667
595697130768765306372839937235,509453467017801115024980801029,19,3,15,0,2,0,0,3,3,15,0,2.0,1.6,9.0,0,2,2,12,0,9,3,12,0,1,0.42857142857142855,0.6,0.46153846153846156,0.0,0.5,0.5263157894736842,0.42105263157894735,0.9473684210526315,0.0,0.05263157894736842
883885490764361349921625166579,835337685081738257194194904673,20,3,16,0,2,0,0,4,2,16,0,3.0,1.3333333333333333,9.5,0,2,1,13,0,13,3,16,0,1,0.6190476190476191,0.6,0.6153846153846154,0.0,0.5,0.75,0.2,0.95,0.0,0.05
681701084366935956986898572723,12889167115062141643708640969,19,2,16,0,2,0,0,6,2,16,0,2.4,1.2,9.0,0,5,1,14,0,9,4,13,0,1,0.42857142857142855,0.8,0.5,0.0,0.5,0.631578947368421,0.3157894736842105,0.9473684210526315,0.0,0.05263157894736842
883885490764361349921625166579,774849975552861446277934800400,11,3,7,0,2,0,0,4,2,7,0,2.6666666666666665,2.0,5.0,0,3,0,4,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7272727272727273,0.18181818181818182,0.9090909090909091,0.0,0.09090909090909091
595697130768765306372839937235,110319680326506410085317818205,18,3,14,0,2,0,0,4,2,14,0,3.25,1.3333333333333333,8.5,0,2,1,11,0,9,3,12,0,1,0.42857142857142855,0.6,0.46153846153846156,0.0,0.5,0.7222222222222222,0.2222222222222222,0.9444444444444444,0.0,0.05555555555555555
347772867131614806194009038963,134519273842229992948075929341,12,2,9,0,2,0,0,9,0,9,0,5.5,0.0,5.5,0,7,0,7,0,9,0,9,0,1,0.42857142857142855,0.0,0.34615384615384615,0.0,0.5,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333
447357313785405254497451291104,857314706640708647180549989567,13,4,8,0,2,0,0,3,1,8,0,1.6,1.0,6.0,0,2,0,4,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6153846153846154,0.3076923076923077,0.9230769230769231,0.0,0.07692307692307693
632041280290379723695626884185,41009856713228327249311579448,15,2,12,0,2,0,0,12,0,12,0,7.0,0.0,7.0,0,10,0,10,0,10,0,10,0,1,0.47619047619047616,0.0,0.38461538461538464,0.0,0.5,0.9333333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667
681701084366935956986898572723,877051209112940364491161374824,11,2,8,0,2,0,0,3,2,8,0,2.3333333333333335,1.5,5.0,0,2,1,6,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.0,0.09090909090909091
347772867131614806194009038963,333688278395458926088395517137,15,2,12,0,2,0,0,11,1,12,0,6.5,1.0,7.0,0,9,0,10,0,10,1,11,0,1,0.47619047619047616,0.2,0.4230769230769231,0.0,0.5,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.0,0.06666666666666667
595697130768765306372839937235,996539668799116292757400060936,11,3,7,0,2,0,0,3,2,7,0,2.0,1.3333333333333333,5.0,0,2,1,4,0,4,3,7,0,1,0.19047619047619047,0.6,0.2692307692307692,0.0,0.5,0.5454545454545454,0.36363636363636365,0.9090909090909091,0.0,0.09090909090909091
447357313785405254497451291104,638205777032538226517233812808,15,4,10,0,2,0,0,4,5,10,0,2.0,3.0,7.0,0,3,4,6,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.5333333333333333,0.4,0.9333333333333333,0.0,0.06666666666666667
347772867131614806194009038963,167713144077151694657194756224,17,2,14,0,2,0,0,9,1,14,0,5.0,1.0,8.0,0,7,0,12,0,13,1,14,0,1,0.6190476190476191,0.2,0.5384615384615384,0.0,0.5,0.8823529411764706,0.058823529411764705,0.9411764705882353,0.0,0.058823529411764705
307557349522485967192156168435,318858446897624078741671911004,21,3,17,0,2,0,0,13,1,17,0,4.5,1.0,10.0,0,12,0,14,0,12,2,14,0,1,0.5714285714285714,0.4,0.5384615384615384,0.0,0.5,0.8571428571428571,0.09523809523809523,0.9523809523809523,0.0,0.047619047619047616
447357313785405254497451291104,111216309408212257206557681289,12,4,7,0,2,0,0,7,1,7,0,3.3333333333333335,1.0,5.5,0,6,0,3,0,8,1,9,0,1,0.38095238095238093,0.2,0.34615384615384615,0.0,0.5,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333
347772867131614806194009038963,362561908403910651984770818329,11,2,8,0,2,0,0,8,0,8,0,5.0,0.0,5.0,0,6,0,6,0,8,0,8,0,1,0.38095238095238093,0.0,0.3076923076923077,0.0,0.5,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
681701084366935956986898572723,15871475292444603916348058415,19,2,16,0,2,0,0,4,2,16,0,2.0,1.2,9.0,0,3,1,14,0,11,2,13,0,1,0.5238095238095238,0.4,0.5,0.0,0.5,0.631578947368421,0.3157894736842105,0.9473684210526315,0.0,0.05263157894736842
160886204309285664577636993580,95199924104660363395838652910,18,2,15,0,2,0,0,5,1,15,0,3.5,1.0,8.5,0,4,0,13,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.7777777777777778,0.16666666666666666,0.9444444444444444,0.0,0.05555555555555555
447357313785405254497451291104,633720395443866246692896824310,18,4,13,0,2,0,0,9,1,13,0,3.75,1.0,8.5,0,8,0,9,0,11,2,13,0,1,0.5238095238095238,0.4,0.5,0.0,0.5,0.8333333333333334,0.1111111111111111,0.9444444444444444,0.0,0.05555555555555555
151943258454351205728260177971,963983503452381084049198380528,18,5,12,0,2,0,0,11,1,12,0,5.0,1.0,8.5,0,9,0,7,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.8333333333333334,0.1111111111111111,0.9444444444444444,0.0,0.05555555555555555
883885490764361349921625166579,38035495189988849016768314247,17,3,13,0,2,0,0,9,3,13,0,4.333333333333333,3.0,8.0,0,8,0,10,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.7647058823529411,0.17647058823529413,0.9411764705882353,0.0,0.058823529411764705
595697130768765306372839937235,209586256127513938376862169436,19,3,15,0,2,0,0,4,1,15,0,2.6,1.0,9.0,0,3,0,12,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.6842105263157895,0.2631578947368421,0.9473684210526315,0.0,0.05263157894736842
595697130768765306372839937235,792977379258209795206911233684,15,3,11,0,2,0,0,6,2,11,0,3.6666666666666665,1.5,7.0,0,4,1,8,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.7333333333333333,0.2,0.9333333333333333,0.0,0.06666666666666667
883885490764361349921625166579,166878586482527363503012063171,13,3,9,0,2,0,0,5,2,9,0,3.0,1.5,6.0,0,4,1,6,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
151943258454351205728260177971,840455887321442866740920805232,13,5,7,0,2,0,0,5,1,7,0,2.5,1.0,6.0,0,4,0,2,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.7692307692307693,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693
595697130768765306372839937235,524397259493892037310398118232,21,3,17,0,2,0,0,5,2,17,0,3.5,1.2,10.0,0,3,1,14,0,12,4,16,0,1,0.5714285714285714,0.8,0.6153846153846154,0.0,0.5,0.6666666666666666,0.2857142857142857,0.9523809523809523,0.0,0.047619047619047616
307557349522485967192156168435,374680155077954957637610025160,16,3,12,0,2,0,0,10,1,12,0,4.0,1.0,7.5,0,9,0,9,0,12,2,14,0,1,0.5714285714285714,0.4,0.5384615384615384,0.0,0.5,0.75,0.1875,0.9375,0.0,0.0625
307557349522485967192156168435,86736309383623745555285389529,12,3,8,0,2,0,0,4,1,8,0,2.0,1.0,5.5,0,3,0,5,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6666666666666666,0.25,0.9166666666666666,0.0,0.08333333333333333
632041280290379723695626884185,422116535145757852709412347566,17,2,14,0,2,0,0,5,1,14,0,3.5,1.0,8.0,0,3,0,12,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.8235294117647058,0.11764705882352941,0.9411764705882353,0.0,0.058823529411764705
632041280290379723695626884185,591200309292581163752966738150,10,2,7,0,2,0,0,5,1,7,0,2.6666666666666665,1.0,4.5,0,4,0,5,0,5,1,6,0,1,0.23809523809523808,0.2,0.23076923076923078,0.0,0.5,0.8,0.1,0.9,0.0,0.1
632041280290379723695626884185,471404722828629643052817701663,19,2,16,0,2,0,0,4,2,16,0,2.0,1.2,9.0,0,3,1,14,0,10,4,14,0,1,0.47619047619047616,0.8,0.5384615384615384,0.0,0.5,0.631578947368421,0.3157894736842105,0.9473684210526315,0.0,0.05263157894736842
151943258454351205728260177971,244704625783469328991008178332,13,5,7,0,2,0,0,3,1,7,0,2.5,1.0,6.0,0,1,0,2,0,7,1,8,0,1,0.3333333333333333,0.2,0.3076923076923077,0.0,0.5,0.7692307692307693,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693
883885490764361349921625166579,50319015377896917461650008978,12,3,8,0,2,0,0,3,1,8,0,2.25,1.0,5.5,0,2,0,5,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.75,0.16666666666666666,0.9166666666666666,0.0,0.08333333333333333
447357313785405254497451291104,69144617634924236049612846398,20,4,15,0,2,0,0,9,1,15,0,4.25,1.0,9.5,0,8,0,11,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.85,0.1,0.95,0.0,0.05
595697130768765306372839937235,383297688668748172803215264667,13,3,9,0,2,0,0,6,1,9,0,3.3333333333333335,1.0,6.0,0,4,0,6,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7692307692307693,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693
160886204309285664577636993580,150821636513964238267577874360,12,2,9,0,2,0,0,2,2,9,0,1.2,1.25,5.5,0,1,1,7,0,4,4,8,0,1,0.19047619047619047,0.8,0.3076923076923077,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
151943258454351205728260177971,57221158510274309926926912942,20,5,14,0,2,0,0,6,1,14,0,2.0,1.0,9.5,0,5,0,9,0,9,3,12,0,1,0.42857142857142855,0.6,0.46153846153846156,0.0,0.5,0.7,0.25,0.95,0.0,0.05
632041280290379723695626884185,298523142218494611933451499816,12,2,9,0,2,0,0,5,2,9,0,3.0,2.0,5.5,0,3,0,7,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.75,0.16666666666666666,0.9166666666666666,0.0,0.08333333333333333
595697130768765306372839937235,662406878338010335665442138670,21,3,17,0,2,0,0,5,1,17,0,3.2,1.0,10.0,0,4,0,14,0,11,2,13,0,1,0.5238095238095238,0.4,0.5,0.0,0.5,0.7619047619047619,0.19047619047619047,0.9523809523809523,0.0,0.047619047619047616
