domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
566722776942878426545459248815,402608193782916991367177573859,21,7,13,0,2,0,0,2,1,7,3,1.6,1.0,2.4,2.0,1,0,6,2,6,2,8,7,1,0.2857142857142857,0.4,0.3076923076923077,0.7,0.5,0.38095238095238093,0.19047619047619047,0.5714285714285714,0.38095238095238093,0.047619047619047616
275906679629947771054103163685,371049251102901687124817859622,21,7,13,0,2,0,0,2,1,7,11,1.75,1.0,4.5,11.0,1,0,5,0,7,2,9,7,1,0.3333333333333333,0.4,0.34615384615384615,0.7,0.5,0.3333333333333333,0.09523809523809523,0.42857142857142855,0.5238095238095238,0.047619047619047616
275906679629947771054103163685,297851771448168189884823727977,21,7,13,0,2,0,0,2,1,7,5,1.6666666666666667,1.0,2.5,2.5,1,0,6,4,5,4,9,7,1,0.23809523809523808,0.8,0.34615384615384615,0.7,0.5,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.47619047619047616,0.047619047619047616
595697130768765306372839937235,784557758780037379432248390440,17,3,13,0,2,0,0,2,1,3,3,1.5,1.0,1.6,2.6666666666666665,1,0,2,1,4,2,6,7,1,0.19047619047619047,0.4,0.23076923076923078,0.7,0.5,0.35294117647058826,0.11764705882352941,0.47058823529411764,0.47058823529411764,0.058823529411764705
10381918036562240246770817820,454785156601535536654094994362,22,8,13,0,2,0,0,2,2,8,3,1.4,1.25,3.0,3.0,1,1,7,0,5,2,7,5,1,0.23809523809523808,0.4,0.2692307692307692,0.5,0.5,0.3181818181818182,0.22727272727272727,0.5454545454545454,0.4090909090909091,0.045454545454545456
595697130768765306372839937235,966518297207417006803996894897,17,3,13,0,2,0,0,2,1,3,3,1.4,1.0,1.6,2.0,1,0,2,2,6,1,7,5,1,0.2857142857142857,0.2,0.2692307692307692,0.5,0.5,0.4117647058823529,0.058823529411764705,0.47058823529411764,0.47058823529411764,0.058823529411764705
685936250963540656798184244821,549196065552635351874108408061,25,11,13,0,2,0,0,4,1,11,3,1.8571428571428572,1.0,3.4,1.4,3,0,10,2,8,3,11,7,1,0.38095238095238093,0.6,0.4230769230769231,0.7,0.5,0.52,0.16,0.68,0.28,0.04
566722776942878426545459248815,436275338972782969827815437061,21,7,13,0,2,0,0,2,1,7,9,1.5,1.0,3.0,5.5,1,0,6,7,5,2,7,7,1,0.23809523809523808,0.4,0.2692307692307692,0.7,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5238095238095238,0.047619047619047616
685936250963540656798184244821,260241877482092075438927798963,25,11,13,0,2,0,0,4,1,11,5,1.6666666666666667,1.0,3.75,2.25,3,0,10,4,8,3,11,7,1,0.38095238095238093,0.6,0.4230769230769231,0.7,0.5,0.4,0.2,0.6,0.36,0.04
685936250963540656798184244821,407150064572434808813481232141,25,11,13,0,2,0,0,4,1,11,5,1.5,1.0,3.0,2.25,3,0,10,4,8,2,10,5,1,0.38095238095238093,0.4,0.38461538461538464,0.5,0.5,0.48,0.12,0.6,0.36,0.04
10381918036562240246770817820,847970874064447297219820126471,22,8,13,0,2,0,0,2,2,8,5,1.6,1.5,3.6666666666666665,3.3333333333333335,1,1,7,4,5,2,7,6,1,0.23809523809523808,0.4,0.2692307692307692,0.6,0.5,0.36363636363636365,0.13636363636363635,0.5,0.45454545454545453,0.045454545454545456
10381918036562240246770817820,777110871707801734140478828705,22,8,13,0,2,0,0,3,2,8,3,1.5714285714285714,1.3333333333333333,2.5,1.5,2,1,7,2,5,2,7,5,1,0.23809523809523808,0.4,0.2692307692307692,0.5,0.5,0.5,0.18181818181818182,0.6818181818181818,0.2727272727272727,0.045454545454545456
595697130768765306372839937235,409733947056591043803854468548,17,3,13,0,2,0,0,3,1,3,3,1.6,1.0,2.0,1.5,2,0,2,2,5,2,7,5,1,0.23809523809523808,0.4,0.2692307692307692,0.5,0.5,0.47058823529411764,0.11764705882352941,0.5882352941176471,0.35294117647058826,0.058823529411764705
10381918036562240246770817820,541733718215791288397144420869,22,8,13,0,2,0,0,2,2,8,9,1.5,1.3333333333333333,3.3333333333333335,5.5,1,1,7,7,5,2,7,5,1,0.23809523809523808,0.4,0.2692307692307692,0.5,0.5,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.5,0.045454545454545456
10381918036562240246770817820,134940993521026769469500628260,22,8,13,0,2,0,0,2,2,8,5,1.2857142857142858,1.3333333333333333,2.6,2.0,1,1,7,4,5,2,7,6,1,0.23809523809523808,0.4,0.2692307692307692,0.6,0.5,0.4090909090909091,0.18181818181818182,0.5909090909090909,0.36363636363636365,0.045454545454545456
275906679629947771054103163685,554528091239432828086195019576,21,7,13,0,2,0,0,2,1,7,3,1.3333333333333333,1.0,2.2,2.25,1,0,6,2,7,3,10,7,1,0.3333333333333333,0.6,0.38461538461538464,0.7,0.5,0.38095238095238093,0.14285714285714285,0.5238095238095238,0.42857142857142855,0.047619047619047616
10381918036562240246770817820,814217638555173641406195414303,22,8,13,0,2,0,0,2,2,8,6,1.5,1.3333333333333333,3.25,2.6666666666666665,1,1,7,5,5,2,7,6,1,0.23809523809523808,0.4,0.2692307692307692,0.6,0.5,0.4090909090909091,0.18181818181818182,0.5909090909090909,0.36363636363636365,0.045454545454545456
275906679629947771054103163685,864890790177904436103461725500,21,7,13,0,2,0,0,2,1,7,6,1.4,1.0,2.5,2.5,1,0,6,5,7,3,10,6,1,0.3333333333333333,0.6,0.38461538461538464,0.6,0.5,0.3333333333333333,0.14285714285714285,0.47619047619047616,0.47619047619047616,0.047619047619047616
685936250963540656798184244821,604304930559161893229755423104,25,11,13,0,2,0,0,4,1,11,4,1.8333333333333333,1.0,4.0,2.6666666666666665,3,0,10,3,8,3,11,6,1,0.38095238095238093,0.6,0.4230769230769231,0.6,0.5,0.44,0.2,0.64,0.32,0.04
685936250963540656798184244821,568200452323520669258448456083,25,11,13,0,2,0,0,4,1,11,8,2.0,1.0,5.0,4.5,3,0,10,7,8,2,10,6,1,0.38095238095238093,0.4,0.38461538461538464,0.6,0.5,0.4,0.2,0.6,0.36,0.04
