@RELATION murofet_v1

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
488496392775427878672438958169,639305690613018961213940814318,35,3,31,0,2,0,0,9,3,31,0,4.5,1.75,17.0,0,8,2,28,0,15,4,19,0,1,0.7142857142857143,0.8,0.7307692307692307,0.0,0.5,0.7714285714285715,0.2,0.9714285714285714,0.0,0.02857142857142857
307557349522485967192156168435,238917796536024931466555070832,30,3,26,0,2,0,0,10,2,26,0,4.0,1.25,14.5,0,9,1,23,0,14,3,17,0,1,0.6666666666666666,0.6,0.6538461538461539,0.0,0.5,0.8,0.16666666666666666,0.9666666666666667,0.0,0.03333333333333333
160886204309285664577636993580,461717909788682841533426538484,33,2,30,0,2,0,0,14,2,30,0,7.0,1.3333333333333333,16.0,0,13,1,28,0,15,3,18,0,1,0.7142857142857143,0.6,0.6923076923076923,0.0,0.5,0.8484848484848485,0.12121212121212122,0.9696969696969697,0.0,0.030303030303030304
488496392775427878672438958169,455978723660252445340437697228,29,3,25,0,2,0,0,14,2,25,0,3.6666666666666665,1.2,14.0,0,13,1,22,0,14,3,17,0,1,0.6666666666666666,0.6,0.6538461538461539,0.0,0.5,0.7586206896551724,0.20689655172413793,0.9655172413793104,0.0,0.034482758620689655
307557349522485967192156168435,446399547674788443082899689768,29,3,25,0,2,0,0,8,1,25,0,3.2857142857142856,1.0,14.0,0,7,0,22,0,16,3,19,0,1,0.7619047619047619,0.6,0.7307692307692307,0.0,0.5,0.7931034482758621,0.1724137931034483,0.9655172413793104,0.0,0.034482758620689655
307557349522485967192156168435,133590799295934644682620411746,36,3,32,0,2,0,0,5,2,32,0,2.6,1.125,17.5,0,4,1,29,0,16,4,20,0,1,0.7619047619047619,0.8,0.7692307692307693,0.0,0.5,0.7222222222222222,0.25,0.9722222222222222,0.0,0.027777777777777776
488496392775427878672438958169,480980446587152779912370117915,27,3,23,0,2,0,0,9,2,23,0,3.5,1.25,13.0,0,8,1,20,0,15,5,20,0,1,0.7142857142857143,1.0,0.7692307692307693,0.0,0.5,0.7777777777777778,0.18518518518518517,0.9629629629629629,0.0,0.037037037037037035
595697130768765306372839937235,734809393887141744469889695992,32,3,28,0,2,0,0,9,1,28,0,4.333333333333333,1.0,15.5,0,7,0,25,0,17,4,21,0,1,0.8095238095238095,0.8,0.8076923076923077,0.0,0.5,0.8125,0.15625,0.96875,0.0,0.03125
488496392775427878672438958169,895836291611273940524326929202,29,3,25,0,2,0,0,5,2,25,0,2.375,1.5,14.0,0,4,1,22,0,14,5,19,0,1,0.6666666666666666,1.0,0.7307692307692307,0.0,0.5,0.6551724137931034,0.3103448275862069,0.9655172413793104,0.0,0.034482758620689655
328970105063611084508420662788,236656116346950387658759803051,27,3,23,0,2,0,0,11,1,23,0,4.6,1.0,13.0,0,10,0,20,0,15,3,18,0,1,0.7142857142857143,0.6,0.6923076923076923,0.0,0.5,0.8518518518518519,0.1111111111111111,0.9629629629629629,0.0,0.037037037037037035
