domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
307557349522485967192156168435,639262658301066438870873400698,40,3,36,0,2,0,0,7,2,9,2,3.4285714285714284,1.1666666666666667,6.2,2.0,6,1,6,0,14,5,19,6,1,0.6666666666666666,1.0,0.7307692307692307,0.6,0.5,0.6,0.175,0.775,0.2,0.025
595697130768765306372839937235,753422776601304166914131026837,43,3,39,0,2,0,0,6,1,9,2,2.272727272727273,1.0,3.111111111111111,2.0,5,0,8,0,15,2,17,9,1,0.7142857142857143,0.4,0.6538461538461539,0.9,0.5,0.5813953488372093,0.06976744186046512,0.6511627906976745,0.32558139534883723,0.023255813953488372
328970105063611084508420662788,533534766962456674756824678602,44,3,40,0,2,0,0,6,1,7,2,1.9166666666666667,1.0,2.7,2.0,5,0,6,0,13,4,17,9,1,0.6190476190476191,0.8,0.6538461538461539,0.9,0.5,0.5227272727272727,0.09090909090909091,0.6136363636363636,0.36363636363636365,0.022727272727272728
164890544466941896389037254793,425105580278505305618350527944,43,4,38,0,2,0,0,5,1,10,2,2.0,1.0,3.75,2.0,4,0,9,0,15,4,19,7,1,0.7142857142857143,0.8,0.7307692307692307,0.7,0.5,0.5116279069767442,0.18604651162790697,0.6976744186046512,0.27906976744186046,0.023255813953488372
164890544466941896389037254793,414337243236921300826841215123,42,4,37,0,2,0,0,10,2,20,2,3.4285714285714284,1.1666666666666667,4.428571428571429,2.0,9,1,19,0,13,4,17,7,1,0.6190476190476191,0.8,0.6538461538461539,0.7,0.5,0.5714285714285714,0.16666666666666666,0.7380952380952381,0.23809523809523808,0.023809523809523808
160886204309285664577636993580,56369460235865703475712523173,38,2,35,0,2,0,0,7,2,19,2,3.7142857142857144,1.25,6.2,2.0,6,1,17,0,13,3,16,5,1,0.6190476190476191,0.6,0.6153846153846154,0.5,0.5,0.6842105263157895,0.13157894736842105,0.8157894736842105,0.15789473684210525,0.02631578947368421
488496392775427878672438958169,701988360318255355184809177811,39,3,35,0,2,0,0,7,1,9,2,3.0,1.0,6.4,2.0,6,0,6,0,15,5,20,5,1,0.7142857142857143,1.0,0.7692307692307693,0.5,0.5,0.6923076923076923,0.1282051282051282,0.8205128205128205,0.15384615384615385,0.02564102564102564
595697130768765306372839937235,474747347563123137887195767818,43,3,39,0,2,0,0,3,1,7,2,1.75,1.0,3.111111111111111,2.0,2,0,6,0,14,3,17,9,1,0.6666666666666666,0.6,0.6538461538461539,0.9,0.5,0.4883720930232558,0.16279069767441862,0.6511627906976745,0.32558139534883723,0.023255813953488372
307557349522485967192156168435,918500830122738305349595490534,44,3,40,0,2,0,0,5,1,5,2,1.9166666666666667,1.0,2.7,2.0,4,0,4,0,14,2,16,7,1,0.6666666666666666,0.4,0.6153846153846154,0.7,0.5,0.5227272727272727,0.09090909090909091,0.6136363636363636,0.36363636363636365,0.022727272727272728
488496392775427878672438958169,637185502516157179234509895027,43,3,39,0,2,0,0,13,1,13,2,3.0,1.0,3.5,2.0,12,0,12,0,17,4,21,7,1,0.8095238095238095,0.8,0.8076923076923077,0.7,0.5,0.5581395348837209,0.09302325581395349,0.6511627906976745,0.32558139534883723,0.023255813953488372
