@RELATION murofetweekly

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
160886204309285664577636993580,270904050253092481116801813475,40,2,37,0,2,0,0,9,1,9,2,5.2,1.0,4.142857142857143,2.0,8,0,8,0,14,3,17,6,1,0.6666666666666666,0.6,0.6538461538461539,0.6,0.5,0.65,0.075,0.725,0.25,0.025
164890544466941896389037254793,732507790078830137874122687942,41,4,36,0,2,0,0,13,1,14,2,3.375,1.0,5.333333333333333,2.0,12,0,13,0,17,4,21,6,1,0.8095238095238095,0.8,0.8076923076923077,0.6,0.5,0.6585365853658537,0.12195121951219512,0.7804878048780488,0.1951219512195122,0.024390243902439025
488496392775427878672438958169,617722708133474472796241215768,43,3,39,0,2,0,0,3,1,5,2,2.0,1.0,3.5,2.0,2,0,4,0,11,5,16,7,1,0.5238095238095238,1.0,0.6153846153846154,0.7,0.5,0.46511627906976744,0.18604651162790697,0.6511627906976745,0.32558139534883723,0.023255813953488372
488496392775427878672438958169,961452219507405577238827012840,40,3,36,0,2,0,0,6,2,11,2,2.7777777777777777,1.2,5.166666666666667,2.0,5,1,10,0,17,4,21,5,1,0.8095238095238095,0.8,0.8076923076923077,0.5,0.5,0.625,0.15,0.775,0.2,0.025
488496392775427878672438958169,304341141141894651239698903299,43,3,39,0,2,0,0,5,2,7,2,2.272727272727273,1.5,3.111111111111111,2.0,4,1,6,0,13,3,16,9,1,0.6190476190476191,0.6,0.6153846153846154,0.9,0.5,0.5813953488372093,0.06976744186046512,0.6511627906976745,0.32558139534883723,0.023255813953488372
307557349522485967192156168435,922219052116271045520728226684,40,3,36,0,2,0,0,6,1,7,2,2.0,1.0,5.166666666666667,2.0,5,0,4,0,13,4,17,6,1,0.6190476190476191,0.8,0.6538461538461539,0.6,0.5,0.55,0.225,0.775,0.2,0.025
307557349522485967192156168435,118191069287387825622452265311,41,3,37,0,2,0,0,10,2,11,2,3.5714285714285716,1.25,5.0,2.0,9,1,8,0,13,4,17,5,1,0.6190476190476191,0.8,0.6538461538461539,0.5,0.5,0.6097560975609756,0.12195121951219512,0.7317073170731707,0.24390243902439024,0.024390243902439025
595697130768765306372839937235,1201922362833799533605897904,42,3,38,0,2,0,0,11,2,11,2,3.0,1.25,3.625,2.0,10,1,10,0,14,3,17,7,1,0.6666666666666666,0.6,0.6538461538461539,0.7,0.5,0.5714285714285714,0.11904761904761904,0.6904761904761905,0.2857142857142857,0.023809523809523808
160886204309285664577636993580,241764507779360142802877246186,39,2,36,0,2,0,0,5,1,9,2,3.7142857142857144,1.0,6.0,2.0,4,0,7,0,18,2,20,6,1,0.8571428571428571,0.4,0.7692307692307693,0.6,0.5,0.6666666666666666,0.10256410256410256,0.7692307692307693,0.20512820512820512,0.02564102564102564
160886204309285664577636993580,922684425875987974161287947455,40,2,37,0,2,0,0,6,1,13,2,2.6666666666666665,1.0,4.833333333333333,2.0,5,0,12,0,14,3,17,5,1,0.6666666666666666,0.6,0.6538461538461539,0.5,0.5,0.6,0.125,0.725,0.25,0.025
160886204309285664577636993580,828069654613323003549292381155,39,2,36,0,2,0,0,10,2,16,2,3.125,1.25,5.0,2.0,9,1,15,0,16,3,19,7,1,0.7619047619047619,0.6,0.7307692307692307,0.7,0.5,0.6410256410256411,0.1282051282051282,0.7692307692307693,0.20512820512820512,0.02564102564102564
595697130768765306372839937235,619734484981173090701730396877,41,3,37,0,2,0,0,9,1,9,2,4.333333333333333,1.0,4.285714285714286,2.0,7,0,8,0,15,1,16,5,1,0.7142857142857143,0.2,0.6153846153846154,0.5,0.5,0.6341463414634146,0.0975609756097561,0.7317073170731707,0.24390243902439024,0.024390243902439025
488496392775427878672438958169,339516948849306509034816361148,42,3,38,0,2,0,0,4,1,13,2,2.3,1.0,4.142857142857143,2.0,3,0,12,0,15,3,18,7,1,0.7142857142857143,0.6,0.6923076923076923,0.7,0.5,0.5476190476190477,0.14285714285714285,0.6904761904761905,0.2857142857142857,0.023809523809523808
164890544466941896389037254793,171264499264753462140449168749,45,4,40,0,2,0,0,5,3,13,2,2.111111111111111,1.2857142857142858,3.111111111111111,2.0,4,2,12,0,16,5,21,7,1,0.7619047619047619,1.0,0.8076923076923077,0.7,0.5,0.4222222222222222,0.2,0.6222222222222222,0.35555555555555557,0.022222222222222223
328970105063611084508420662788,545197263274929543732308118299,38,3,34,0,2,0,0,10,1,24,2,3.5,1.0,8.25,2.0,9,0,23,0,15,3,18,4,1,0.7142857142857143,0.6,0.6923076923076923,0.4,0.5,0.7368421052631579,0.13157894736842105,0.868421052631579,0.10526315789473684,0.02631578947368421
307557349522485967192156168435,554995887720591910093358067020,39,3,35,0,2,0,0,9,2,14,2,3.125,1.1666666666666667,6.4,2.0,8,1,13,0,15,5,20,3,1,0.7142857142857143,1.0,0.7692307692307693,0.3,0.5,0.6410256410256411,0.1794871794871795,0.8205128205128205,0.15384615384615385,0.02564102564102564
595697130768765306372839937235,313768362598521823143203451353,43,3,39,0,2,0,0,4,1,7,2,2.6666666666666665,1.0,3.111111111111111,2.0,3,0,6,0,14,3,17,6,1,0.6666666666666666,0.6,0.6538461538461539,0.6,0.5,0.5581395348837209,0.09302325581395349,0.6511627906976745,0.32558139534883723,0.023255813953488372
307557349522485967192156168435,742963784081228485461396267066,43,3,39,0,2,0,0,5,1,15,2,2.090909090909091,1.0,3.5,2.0,4,0,14,0,14,3,17,8,1,0.6666666666666666,0.6,0.6538461538461539,0.8,0.5,0.5348837209302325,0.11627906976744186,0.6511627906976745,0.32558139534883723,0.023255813953488372
160886204309285664577636993580,934820543539954263499790869998,40,2,37,0,2,0,0,5,1,9,2,2.5555555555555554,1.0,4.142857142857143,2.0,4,0,8,0,15,5,20,8,1,0.7142857142857143,1.0,0.7692307692307693,0.8,0.5,0.575,0.15,0.725,0.25,0.025
595697130768765306372839937235,624961199718452268450964440009,43,3,39,0,2,0,0,6,1,7,2,3.0,1.0,3.5,2.0,5,0,6,0,16,3,19,7,1,0.7619047619047619,0.6,0.7307692307692307,0.7,0.5,0.5581395348837209,0.09302325581395349,0.6511627906976745,0.32558139534883723,0.023255813953488372
488496392775427878672438958169,159755719677947729581799623624,38,3,34,0,2,0,0,11,2,13,2,6.0,1.5,8.25,2.0,10,1,10,0,17,3,20,4,1,0.8095238095238095,0.6,0.7692307692307693,0.4,0.5,0.7894736842105263,0.07894736842105263,0.868421052631579,0.10526315789473684,0.02631578947368421
328970105063611084508420662788,378829123561901541719466046854,41,3,37,0,2,0,0,8,1,9,2,3.7142857142857144,1.0,4.285714285714286,2.0,7,0,8,0,16,4,20,5,1,0.7619047619047619,0.8,0.7692307692307693,0.5,0.5,0.6341463414634146,0.0975609756097561,0.7317073170731707,0.24390243902439024,0.024390243902439025
