@RELATION nymaim2

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
16783131924219638492615097863,801992279229570017459304079636,14,2,11,0,2,0,0,2,2,11,0,1.4,1.5,6.5,0,1,1,9,0,5,4,9,0,1,0.23809523809523808,0.8,0.34615384615384615,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
181053175215783242906420956359,951245054511891105266680934418,18,2,15,0,2,0,0,2,1,8,0,1.25,1.0,5.333333333333333,0,1,0,6,0,7,4,11,0,2,0.3333333333333333,0.8,0.4230769230769231,0.0,1.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,0.1111111111111111
152599807831349688263561136398,530307269055989909779308692076,17,2,14,0,2,0,0,3,2,14,0,1.6666666666666667,1.2,8.0,0,2,1,12,0,8,5,13,0,1,0.38095238095238093,1.0,0.5,0.0,0.5,0.5882352941176471,0.35294117647058826,0.9411764705882353,0.0,0.058823529411764705
667517305739726613029537546894,633719668840554609322319061016,19,2,16,0,2,0,0,2,2,16,0,1.375,1.1666666666666667,9.0,0,1,1,14,0,9,5,14,0,1,0.42857142857142855,1.0,0.5384615384615384,0.0,0.5,0.5789473684210527,0.3684210526315789,0.9473684210526315,0.0,0.05263157894736842
890564497214979614080117499207,151893343544785325135482051898,24,2,21,0,2,0,0,2,2,10,0,1.1,1.2222222222222223,7.333333333333333,0,1,1,8,0,6,4,10,0,2,0.2857142857142857,0.8,0.38461538461538464,0.0,1.0,0.4583333333333333,0.4583333333333333,0.9166666666666666,0.0,0.08333333333333333
798139171645805648386064362555,836416130940209081161436420869,18,2,15,0,2,0,0,3,2,8,0,1.8333333333333333,1.6666666666666667,5.333333333333333,0,2,1,6,0,9,3,12,0,2,0.42857142857142855,0.6,0.46153846153846156,0.0,1.0,0.6111111111111112,0.2777777777777778,0.8888888888888888,0.0,0.1111111111111111
881140309158706944872780965565,932161439314937519100005616014,18,2,15,0,2,0,0,2,2,15,0,1.5714285714285714,1.2,8.5,0,1,1,13,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6111111111111112,0.3333333333333333,0.9444444444444444,0.0,0.05555555555555555
4502130157350577425443637327,269373305252919131889574525435,19,2,16,0,2,0,0,2,1,8,0,1.5714285714285714,1.0,5.666666666666667,0,1,0,6,0,9,4,13,0,2,0.42857142857142855,0.8,0.5,0.0,1.0,0.5789473684210527,0.3157894736842105,0.8947368421052632,0.0,0.10526315789473684
186133932479868466085328729471,827224182954674734742150337405,17,2,14,0,2,0,0,3,1,14,0,1.4285714285714286,1.0,8.0,0,2,0,12,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.5882352941176471,0.35294117647058826,0.9411764705882353,0.0,0.058823529411764705
918099851450960295888704186469,758695778176451028746176706212,19,2,16,0,2,0,0,2,1,11,0,1.375,1.0,5.666666666666667,0,1,0,9,0,8,2,10,0,2,0.38095238095238093,0.4,0.38461538461538464,0.0,1.0,0.5789473684210527,0.3157894736842105,0.8947368421052632,0.0,0.10526315789473684
223272978779246838284957766271,222430207279381848210064557114,20,2,17,0,2,0,0,2,1,17,0,1.3333333333333333,1.0,9.5,0,1,0,15,0,9,5,14,0,1,0.42857142857142855,1.0,0.5384615384615384,0.0,0.5,0.6,0.35,0.95,0.0,0.05
883885490764361349921625166579,355464881991927682904978155755,13,3,9,0,2,0,0,3,1,9,0,2.25,1.0,6.0,0,2,0,6,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
164890544466941896389037254793,251523403383244540760071834538,18,4,13,0,2,0,0,3,2,6,0,1.6666666666666667,1.2,5.333333333333333,0,2,1,2,0,8,4,12,0,2,0.38095238095238093,0.8,0.46153846153846156,0.0,1.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,0.1111111111111111
947505893150064107596973080559,190660684060147520257796462450,13,3,9,0,2,0,0,3,2,9,0,1.4,1.25,6.0,0,2,1,6,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5384615384615384,0.38461538461538464,0.9230769230769231,0.0,0.07692307692307693
587444317467978522642011116813,839598145399257534322669742814,18,2,15,0,2,0,0,4,1,8,0,1.4285714285714286,1.0,5.333333333333333,0,3,0,6,0,10,3,13,0,2,0.47619047619047616,0.6,0.5,0.0,1.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,0.1111111111111111
