domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
595697130768765306372839937235,117901688508101221137356697695,18,3,6,7,3,0,0,6,1,7,0,4.666666666666667,1.0,5.333333333333333,0,4,0,4,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111
488496392775427878672438958169,542026319944188869944185680307,14,3,10,0,2,0,0,4,1,10,0,2.0,1.0,6.5,0,3,0,7,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.7142857142857143,0.21428571428571427,0.9285714285714286,0.0,0.07142857142857142
488496392775427878672438958169,449538327820602909057351053585,14,3,10,0,2,0,0,4,2,10,0,1.8,1.3333333333333333,6.5,0,3,1,7,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6428571428571429,0.2857142857142857,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,748096790343296227341143214143,13,3,9,0,2,0,0,4,1,9,0,1.8,1.0,6.0,0,3,0,6,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
595697130768765306372839937235,117901688508101221137356697695,20,3,6,9,3,0,0,6,1,9,0,4.0,1.0,6.0,0,4,0,6,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.8,0.1,0.9,0.0,0.1
911289451483312220212831417777,895032907902537841041577818872,12,2,9,0,2,0,0,7,1,9,0,3.3333333333333335,1.0,5.5,0,6,0,7,0,8,1,9,0,1,0.38095238095238093,0.2,0.34615384615384615,0.0,0.5,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333
595697130768765306372839937235,117901688508101221137356697695,21,3,6,10,3,0,0,6,3,10,0,2.6,1.5,6.333333333333333,0,5,2,7,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.6190476190476191,0.2857142857142857,0.9047619047619048,0.0,0.09523809523809523
328970105063611084508420662788,669113818068843904124182198781,13,3,9,0,2,0,0,5,1,9,0,1.8,1.0,6.0,0,4,0,6,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
488496392775427878672438958169,650690293420715709794420465877,12,3,8,0,2,0,0,4,1,8,0,1.75,1.0,5.5,0,3,0,5,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
595697130768765306372839937235,117901688508101221137356697695,21,3,6,10,3,0,0,6,2,10,0,3.75,1.3333333333333333,6.333333333333333,0,4,1,7,0,10,4,14,0,1,0.47619047619047616,0.8,0.5384615384615384,0.0,0.5,0.7142857142857143,0.19047619047619047,0.9047619047619048,0.0,0.09523809523809523
328970105063611084508420662788,817603123942922378481357459118,13,3,9,0,2,0,0,5,1,9,0,1.8,1.0,6.0,0,4,0,6,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
998827198021949824464706945002,523128390133914192441796550921,12,2,9,0,2,0,0,7,1,9,0,3.3333333333333335,1.0,5.5,0,6,0,7,0,5,1,6,0,1,0.23809523809523808,0.2,0.23076923076923078,0.0,0.5,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333
