@RELATION padcrypt

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
164890544466941896389037254793,625344185519604384860256726028,21,4,16,0,2,0,0,11,1,16,0,5.666666666666667,1.0,10.0,0,9,0,12,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.8095238095238095,0.14285714285714285,0.9523809523809523,0.0,0.047619047619047616
164890544466941896389037254793,589444902130134604715584298591,21,4,16,0,2,0,0,5,2,16,0,2.8,1.2,10.0,0,4,1,12,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.6666666666666666,0.2857142857142857,0.9523809523809523,0.0,0.047619047619047616
488496392775427878672438958169,7071830340870401397394120174,20,3,16,0,2,0,0,6,2,16,0,2.3333333333333335,1.25,9.5,0,5,1,13,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.7,0.25,0.95,0.0,0.05
578982756351224124836033898334,645631579008648303274995663155,19,2,16,0,2,0,0,11,2,16,0,4.666666666666667,1.3333333333333333,9.0,0,10,1,14,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.7368421052631579,0.21052631578947367,0.9473684210526315,0.0,0.05263157894736842
328970105063611084508420662788,90062205998150389842749243169,20,3,16,0,2,0,0,5,2,16,0,2.8,1.25,9.5,0,4,1,13,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7,0.25,0.95,0.0,0.05
817742814553313325459666338715,871048723750821633998638023436,24,7,16,0,2,0,0,7,1,16,0,3.0,1.0,11.5,0,6,0,9,0,9,4,13,0,1,0.42857142857142855,0.8,0.5,0.0,0.5,0.75,0.20833333333333334,0.9583333333333334,0.0,0.041666666666666664
85141995754660040377563269421,812046869074854236240054515252,23,6,16,0,2,0,0,4,1,16,0,2.0,1.0,11.0,0,3,0,10,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.6086956521739131,0.34782608695652173,0.9565217391304348,0.0,0.043478260869565216
831129081358710935031236283788,426121067384602493451090049859,19,2,16,0,2,0,0,6,3,16,0,3.25,1.6666666666666667,9.0,0,5,2,14,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6842105263157895,0.2631578947368421,0.9473684210526315,0.0,0.05263157894736842
488496392775427878672438958169,788520364765064929602364401230,20,3,16,0,2,0,0,3,3,16,0,1.5714285714285714,1.3333333333333333,9.5,0,2,2,13,0,6,3,9,0,1,0.2857142857142857,0.6,0.34615384615384615,0.0,0.5,0.55,0.4,0.95,0.0,0.05
817742814553313325459666338715,99448220993459743471041480837,24,7,16,0,2,0,0,5,1,16,0,2.4285714285714284,1.0,11.5,0,4,0,9,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.7083333333333334,0.25,0.9583333333333334,0.0,0.041666666666666664
