domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
328970105063611084508420662788,580824538986232490472457642556,14,3,10,0,2,0,0,3,1,10,0,1.8,1.0,6.5,0,2,0,7,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6428571428571429,0.2857142857142857,0.9285714285714286,0.0,0.07142857142857142
595697130768765306372839937235,832106451590700050269403364659,14,3,10,0,2,0,0,3,3,10,0,2.0,1.75,6.5,0,2,2,7,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,912889674753364527866070380187,16,4,11,0,2,0,0,6,1,11,0,2.75,1.0,7.5,0,5,0,7,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6875,0.25,0.9375,0.0,0.0625
328970105063611084508420662788,549325684126335654555886143799,11,3,7,0,2,0,0,1,2,7,0,1.0,1.25,5.0,0,0,1,4,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.0,0.09090909090909091
164890544466941896389037254793,866408013384057945996274259819,16,4,11,0,2,0,0,10,1,11,0,6.0,1.0,7.5,0,8,0,7,0,11,2,13,0,1,0.5238095238095238,0.4,0.5,0.0,0.5,0.75,0.1875,0.9375,0.0,0.0625
164890544466941896389037254793,428981683909605408427746131243,16,4,11,0,2,0,0,11,1,11,0,6.5,1.0,7.5,0,9,0,7,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.8125,0.125,0.9375,0.0,0.0625
328970105063611084508420662788,749583018127154819185908480574,14,3,10,0,2,0,0,5,1,10,0,2.75,1.0,6.5,0,4,0,7,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.7857142857142857,0.14285714285714285,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,321357537144079298266108560505,10,3,6,0,2,0,0,3,2,6,0,1.5,1.5,4.5,0,2,1,3,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.6,0.3,0.9,0.0,0.1
164890544466941896389037254793,534490851458240968501892731200,15,4,10,0,2,0,0,3,4,10,0,2.3333333333333335,1.75,7.0,0,1,3,6,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.4666666666666667,0.4666666666666667,0.9333333333333333,0.0,0.06666666666666667
164890544466941896389037254793,564429449031551987204673389912,14,4,9,0,2,0,0,2,5,9,0,2.0,2.3333333333333335,6.5,0,0,4,5,0,6,5,11,0,1,0.2857142857142857,1.0,0.4230769230769231,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,625644725437334545260192080559,16,3,12,0,2,0,0,6,1,12,0,3.25,1.0,7.5,0,5,0,9,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.8125,0.125,0.9375,0.0,0.0625
328970105063611084508420662788,900368515684723009057228246571,16,3,12,0,2,0,0,5,1,12,0,2.2,1.0,7.5,0,4,0,9,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.6875,0.25,0.9375,0.0,0.0625
488496392775427878672438958169,202416527496088852898390712854,12,3,8,0,2,0,0,3,2,8,0,1.75,1.3333333333333333,5.5,0,2,1,5,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
328970105063611084508420662788,368287569872211196109330865701,13,3,9,0,2,0,0,4,1,9,0,1.8,1.0,6.0,0,3,0,6,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
164890544466941896389037254793,311124893902619039799598503289,11,4,6,0,2,0,0,5,1,6,0,3.5,1.0,5.0,0,3,0,2,0,6,3,9,0,1,0.2857142857142857,0.6,0.34615384615384615,0.0,0.5,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.0,0.09090909090909091
328970105063611084508420662788,244743703116919942765123224212,14,3,10,0,2,0,0,9,1,10,0,3.6666666666666665,1.0,6.5,0,8,0,7,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.7857142857142857,0.14285714285714285,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,309306625192863359918587172058,12,4,7,0,2,0,0,5,1,7,0,2.6666666666666665,1.0,5.5,0,4,0,3,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.6666666666666666,0.25,0.9166666666666666,0.0,0.08333333333333333
164890544466941896389037254793,740948086261931466658500155309,16,4,11,0,2,0,0,5,1,11,0,2.75,1.0,7.5,0,4,0,7,0,9,4,13,0,1,0.42857142857142855,0.8,0.5,0.0,0.5,0.6875,0.25,0.9375,0.0,0.0625
328970105063611084508420662788,665168054646405717049785579215,11,3,7,0,2,0,0,4,2,7,0,1.75,1.5,5.0,0,3,1,4,0,6,3,9,0,1,0.2857142857142857,0.6,0.34615384615384615,0.0,0.5,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.0,0.09090909090909091
164890544466941896389037254793,857869074640643778312774291107,12,4,7,0,2,0,0,6,1,7,0,4.0,1.0,5.5,0,4,0,3,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6666666666666666,0.25,0.9166666666666666,0.0,0.08333333333333333
488496392775427878672438958169,932264049559498697046443466221,14,3,10,0,2,0,0,3,2,10,0,1.6,1.25,6.5,0,2,1,7,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5714285714285714,0.35714285714285715,0.9285714285714286,0.0,0.07142857142857142
488496392775427878672438958169,762383138972450046970297199152,15,3,11,0,2,0,0,4,3,11,0,2.0,2.0,7.0,0,3,2,8,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5333333333333333,0.4,0.9333333333333333,0.0,0.06666666666666667
328970105063611084508420662788,964705008235324820441899171417,15,3,11,0,2,0,0,3,3,11,0,1.3333333333333333,1.5,7.0,0,2,2,8,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5333333333333333,0.4,0.9333333333333333,0.0,0.06666666666666667
