domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
595697130768765306372839937235,92166312873138055358000663002,16,3,12,0,2,0,0,8,1,8,1,4.0,1.0,4.666666666666667,1.0,6,0,5,0,12,2,14,1,1,0.5714285714285714,0.4,0.5384615384615384,0.1,0.5,0.75,0.125,0.875,0.0625,0.0625
947505893150064107596973080559,276052457389129384800940806961,16,3,12,0,2,0,0,5,1,6,1,2.5,1.0,4.0,1.0,4,0,3,0,8,2,10,3,1,0.38095238095238093,0.4,0.38461538461538464,0.3,0.5,0.625,0.125,0.75,0.1875,0.0625
595697130768765306372839937235,136018023700193758162142657476,16,3,12,0,2,0,0,2,1,5,1,1.5,1.0,2.4,1.0,1,0,4,0,9,2,11,3,1,0.42857142857142855,0.4,0.4230769230769231,0.3,0.5,0.5625,0.1875,0.75,0.1875,0.0625
947505893150064107596973080559,461133344823162339642978518281,16,3,12,0,2,0,0,3,1,7,1,1.8,1.0,4.666666666666667,1.0,2,0,4,0,8,3,11,1,1,0.38095238095238093,0.6,0.4230769230769231,0.1,0.5,0.5625,0.3125,0.875,0.0625,0.0625
328970105063611084508420662788,120319483101744734850235720661,16,3,12,0,2,0,0,4,1,7,1,1.6666666666666667,1.0,4.666666666666667,1.0,3,0,4,0,7,4,11,1,1,0.3333333333333333,0.8,0.4230769230769231,0.1,0.5,0.625,0.25,0.875,0.0625,0.0625
328970105063611084508420662788,478391721460092699461993919296,16,3,12,0,2,0,0,2,2,4,2,1.25,1.25,2.5,1.6666666666666667,1,1,3,1,5,4,9,4,1,0.23809523809523808,0.8,0.34615384615384615,0.4,0.5,0.3125,0.3125,0.625,0.3125,0.0625
947505893150064107596973080559,690183524516057302684271522183,16,3,12,0,2,0,0,5,1,6,1,1.6666666666666667,1.0,3.25,1.0,4,0,5,0,10,3,13,2,1,0.47619047619047616,0.6,0.5,0.2,0.5,0.625,0.1875,0.8125,0.125,0.0625
488496392775427878672438958169,394751749594814022108312922413,16,3,12,0,2,0,0,1,2,9,2,1.0,1.2,4.333333333333333,2.0,0,1,8,0,5,3,8,2,1,0.23809523809523808,0.6,0.3076923076923077,0.2,0.5,0.4375,0.375,0.8125,0.125,0.0625
947505893150064107596973080559,718267354135354478860181665050,16,3,12,0,2,0,0,2,1,7,2,1.1428571428571428,1.0,4.333333333333333,2.0,1,0,4,0,7,4,11,2,1,0.3333333333333333,0.8,0.4230769230769231,0.2,0.5,0.5,0.3125,0.8125,0.125,0.0625
947505893150064107596973080559,597098225656170868189777976141,16,3,12,0,2,0,0,3,1,3,2,1.2857142857142858,1.0,2.2,1.3333333333333333,2,0,2,1,8,2,10,3,1,0.38095238095238093,0.4,0.38461538461538464,0.3,0.5,0.5625,0.125,0.6875,0.25,0.0625
488496392775427878672438958169,773400569917813144150811742216,16,3,12,0,2,0,0,2,1,3,3,1.25,1.0,2.25,1.5,1,0,2,2,4,3,7,4,1,0.19047619047619047,0.6,0.2692307692307692,0.4,0.5,0.3125,0.25,0.5625,0.375,0.0625
488496392775427878672438958169,452843341369025615474459961368,16,3,12,0,2,0,0,1,1,3,3,1.0,1.0,1.8,1.5,0,0,2,2,3,4,7,4,1,0.14285714285714285,0.8,0.2692307692307692,0.4,0.5,0.1875,0.375,0.5625,0.375,0.0625
488496392775427878672438958169,525080936376044768221416320812,16,3,12,0,2,0,0,3,1,3,1,1.5,1.0,1.8333333333333333,1.0,2,0,2,0,9,2,11,4,1,0.42857142857142855,0.4,0.4230769230769231,0.4,0.5,0.5625,0.125,0.6875,0.25,0.0625
595697130768765306372839937235,500948992143093126093963870499,16,3,12,0,2,0,0,4,1,4,3,1.8,1.0,2.0,1.6666666666666667,3,0,3,2,9,1,10,5,1,0.42857142857142855,0.2,0.38461538461538464,0.5,0.5,0.5625,0.0625,0.625,0.3125,0.0625
947505893150064107596973080559,95750712892421004492669291026,16,3,12,0,2,0,0,2,1,7,1,1.125,1.0,4.666666666666667,1.0,1,0,4,0,7,5,12,1,1,0.3333333333333333,1.0,0.46153846153846156,0.1,0.5,0.5625,0.3125,0.875,0.0625,0.0625
947505893150064107596973080559,302678902959569093909135864359,16,3,12,0,2,0,0,4,1,5,1,1.8,1.0,3.25,1.0,3,0,3,0,8,3,11,2,1,0.38095238095238093,0.6,0.4230769230769231,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
595697130768765306372839937235,397037293049010927223913285950,16,3,12,0,2,0,0,3,1,6,2,1.8,1.0,2.75,1.3333333333333333,2,0,5,1,8,2,10,4,1,0.38095238095238093,0.4,0.38461538461538464,0.4,0.5,0.5625,0.125,0.6875,0.25,0.0625
947505893150064107596973080559,36530723800973196903592068271,16,3,12,0,2,0,0,3,1,10,2,1.8,1.0,6.5,2.0,2,0,7,0,7,4,11,2,1,0.3333333333333333,0.8,0.4230769230769231,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
595697130768765306372839937235,217297666548041779343061529472,16,3,12,0,2,0,0,2,1,6,2,1.4,1.0,3.0,1.5,1,0,5,1,5,5,10,3,1,0.23809523809523808,1.0,0.38461538461538464,0.3,0.5,0.4375,0.3125,0.75,0.1875,0.0625
947505893150064107596973080559,630147764297154834781414278755,16,3,12,0,2,0,0,3,1,6,2,1.8,1.0,3.6666666666666665,2.0,2,0,4,0,7,1,8,2,1,0.3333333333333333,0.2,0.3076923076923077,0.2,0.5,0.5625,0.125,0.6875,0.25,0.0625
328970105063611084508420662788,138061867044470227200478487557,16,3,12,0,2,0,0,3,1,3,2,1.5,1.0,2.0,1.6666666666666667,2,0,2,1,8,1,9,5,1,0.38095238095238093,0.2,0.34615384615384615,0.5,0.5,0.5625,0.0625,0.625,0.3125,0.0625
947505893150064107596973080559,215084574526301446667599650015,16,3,12,0,2,0,0,2,1,4,2,1.2857142857142858,1.0,3.0,1.5,1,0,2,1,8,2,10,3,1,0.38095238095238093,0.4,0.38461538461538464,0.3,0.5,0.5625,0.1875,0.75,0.1875,0.0625
328970105063611084508420662788,813515320322059683751598116487,16,3,12,0,2,0,0,3,1,5,1,1.2857142857142858,1.0,3.0,1.0,2,0,4,0,6,3,9,2,1,0.2857142857142857,0.6,0.34615384615384615,0.2,0.5,0.5625,0.1875,0.75,0.1875,0.0625
595697130768765306372839937235,35241546102145564069515408220,16,3,12,0,2,0,0,2,1,5,2,1.2,1.0,3.6666666666666665,2.0,1,0,2,0,4,4,8,4,1,0.19047619047619047,0.8,0.3076923076923077,0.4,0.5,0.375,0.3125,0.6875,0.25,0.0625
947505893150064107596973080559,508299175951239229887690157926,16,3,12,0,2,0,0,6,1,6,2,2.75,1.0,4.0,1.5,5,0,3,1,9,1,10,3,1,0.42857142857142855,0.2,0.38461538461538464,0.3,0.5,0.6875,0.0625,0.75,0.1875,0.0625
328970105063611084508420662788,367609313846831770271560883415,16,3,12,0,2,0,0,5,1,6,1,1.8,1.0,4.333333333333333,1.0,4,0,3,0,8,2,10,2,1,0.38095238095238093,0.4,0.38461538461538464,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
328970105063611084508420662788,717604973442117479570147999690,16,3,12,0,2,0,0,5,1,6,2,1.8,1.0,3.0,1.5,4,0,5,1,5,3,8,2,1,0.23809523809523808,0.6,0.3076923076923077,0.2,0.5,0.5625,0.1875,0.75,0.1875,0.0625
947505893150064107596973080559,32792829435467621246177649354,16,3,12,0,2,0,0,4,1,5,2,1.8,1.0,2.75,1.3333333333333333,3,0,4,1,8,1,9,3,1,0.38095238095238093,0.2,0.34615384615384615,0.3,0.5,0.5625,0.125,0.6875,0.25,0.0625
328970105063611084508420662788,39190446786994209673344239599,16,3,12,0,2,0,0,2,2,5,1,1.1666666666666667,1.2,3.25,1.0,1,1,4,0,6,4,10,2,1,0.2857142857142857,0.8,0.38461538461538464,0.2,0.5,0.4375,0.375,0.8125,0.125,0.0625
947505893150064107596973080559,850185912766700964773880984738,16,3,12,0,2,0,0,2,1,4,1,1.1428571428571428,1.0,2.2,1.0,1,0,3,0,7,3,10,3,1,0.3333333333333333,0.6,0.38461538461538464,0.3,0.5,0.5,0.1875,0.6875,0.25,0.0625
328970105063611084508420662788,443955106667698447728673887322,16,3,12,0,2,0,0,4,1,5,3,1.8,1.0,2.75,2.0,3,0,4,2,8,2,10,4,1,0.38095238095238093,0.4,0.38461538461538464,0.4,0.5,0.5625,0.125,0.6875,0.25,0.0625
488496392775427878672438958169,630199253586764229549853640376,16,3,12,0,2,0,0,4,1,7,1,2.2,1.0,4.666666666666667,1.0,3,0,4,0,11,3,14,1,1,0.5238095238095238,0.6,0.5384615384615384,0.1,0.5,0.6875,0.1875,0.875,0.0625,0.0625
595697130768765306372839937235,726158494917865967656623094081,16,3,12,0,2,0,0,2,1,4,1,1.5,1.0,2.2,1.0,1,0,3,0,5,5,10,4,1,0.23809523809523808,1.0,0.38461538461538464,0.4,0.5,0.375,0.3125,0.6875,0.25,0.0625
488496392775427878672438958169,531379436708239814608609290238,16,3,12,0,2,0,0,2,1,3,1,1.3333333333333333,1.0,1.8333333333333333,1.0,1,0,2,0,7,2,9,4,1,0.3333333333333333,0.4,0.34615384615384615,0.4,0.5,0.5,0.1875,0.6875,0.25,0.0625
328970105063611084508420662788,37849847725454012181775161198,16,3,12,0,2,0,0,3,1,7,1,1.5,1.0,3.25,1.0,2,0,6,0,6,3,9,2,1,0.2857142857142857,0.6,0.34615384615384615,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
595697130768765306372839937235,570471986628811419422348013740,16,3,12,0,2,0,0,2,1,6,3,1.3333333333333333,1.0,2.75,2.0,1,0,5,2,5,2,7,3,1,0.23809523809523808,0.4,0.2692307692307692,0.3,0.5,0.5,0.1875,0.6875,0.25,0.0625
328970105063611084508420662788,808516301896985440585803939815,16,3,12,0,2,0,0,1,1,3,2,1.0,1.0,1.6,1.4,0,0,2,1,6,2,8,6,1,0.2857142857142857,0.4,0.3076923076923077,0.6,0.5,0.375,0.125,0.5,0.4375,0.0625
947505893150064107596973080559,239954405912501151703506769932,16,3,12,0,2,0,0,4,1,4,3,1.8,1.0,2.5,1.6666666666666667,3,0,3,2,9,1,10,4,1,0.42857142857142855,0.2,0.38461538461538464,0.4,0.5,0.5625,0.0625,0.625,0.3125,0.0625
328970105063611084508420662788,190614138841139020343635586795,16,3,12,0,2,0,0,2,1,4,1,1.5,1.0,3.0,1.0,1,0,2,0,8,2,10,3,1,0.38095238095238093,0.4,0.38461538461538464,0.3,0.5,0.5625,0.1875,0.75,0.1875,0.0625
328970105063611084508420662788,569142196466989944718577062963,16,3,12,0,2,0,0,1,1,3,2,1.0,1.0,1.5,1.2,0,0,2,1,6,2,8,6,1,0.2857142857142857,0.4,0.3076923076923077,0.6,0.5,0.375,0.1875,0.5625,0.375,0.0625
595697130768765306372839937235,131291656015526612430998015911,16,3,12,0,2,0,0,6,1,6,1,2.5,1.0,3.0,1.0,5,0,5,0,6,2,8,3,1,0.2857142857142857,0.4,0.3076923076923077,0.3,0.5,0.625,0.125,0.75,0.1875,0.0625
488496392775427878672438958169,193894995659744458641332282546,16,3,12,0,2,0,0,3,2,7,1,1.4,1.25,3.0,1.0,2,1,6,0,5,4,9,2,1,0.23809523809523808,0.8,0.34615384615384615,0.2,0.5,0.4375,0.3125,0.75,0.1875,0.0625
328970105063611084508420662788,515490325785547298301870787580,16,3,12,0,2,0,0,2,1,3,2,1.1428571428571428,1.0,1.5,1.2,1,0,2,1,7,1,8,5,1,0.3333333333333333,0.2,0.3076923076923077,0.5,0.5,0.5,0.0625,0.5625,0.375,0.0625
488496392775427878672438958169,223444018157531452113129601250,16,3,12,0,2,0,0,2,3,9,1,1.1666666666666667,1.4,4.666666666666667,1.0,1,2,7,0,5,3,8,1,1,0.23809523809523808,0.6,0.3076923076923077,0.1,0.5,0.4375,0.4375,0.875,0.0625,0.0625
595697130768765306372839937235,780897516915263525751099763686,16,3,12,0,2,0,0,3,1,4,2,1.8,1.0,2.2,1.3333333333333333,2,0,3,1,7,2,9,3,1,0.3333333333333333,0.4,0.34615384615384615,0.3,0.5,0.5625,0.125,0.6875,0.25,0.0625
595697130768765306372839937235,38917153308775443611272305013,16,3,12,0,2,0,0,3,1,5,2,2.0,1.0,3.0,1.5,2,0,4,1,7,2,9,3,1,0.3333333333333333,0.4,0.34615384615384615,0.3,0.5,0.625,0.125,0.75,0.1875,0.0625
328970105063611084508420662788,533410525483930812040494580772,16,3,12,0,2,0,0,3,1,3,1,1.4285714285714286,1.0,2.4,1.0,2,0,2,0,6,2,8,3,1,0.2857142857142857,0.4,0.3076923076923077,0.3,0.5,0.625,0.125,0.75,0.1875,0.0625
947505893150064107596973080559,508420393741375514744214654642,16,3,12,0,2,0,0,4,1,6,1,2.0,1.0,4.666666666666667,1.0,3,0,3,0,9,3,12,1,1,0.42857142857142855,0.6,0.46153846153846156,0.1,0.5,0.625,0.25,0.875,0.0625,0.0625
328970105063611084508420662788,419976507254655409681541335521,16,3,12,0,2,0,0,3,1,4,1,1.5,1.0,3.0,1.0,2,0,2,0,7,3,10,3,1,0.3333333333333333,0.6,0.38461538461538464,0.3,0.5,0.5625,0.1875,0.75,0.1875,0.0625
