domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
488496392775427878672438958169,26730869888493304874205481532,21,3,17,0,2,0,0,6,1,17,0,3.2,1.0,10.0,0,5,0,14,0,12,4,16,0,1,0.5714285714285714,0.8,0.6153846153846154,0.0,0.5,0.7619047619047619,0.19047619047619047,0.9523809523809523,0.0,0.047619047619047616
770962937163670966920804908886,727562837770280711618203710490,20,2,17,0,2,0,0,9,1,17,0,6.0,1.0,9.5,0,7,0,15,0,12,1,13,0,1,0.5714285714285714,0.2,0.5,0.0,0.5,0.9,0.05,0.95,0.0,0.05
488496392775427878672438958169,3659083128548829258250050994,21,3,17,0,2,0,0,5,1,17,0,3.2,1.0,10.0,0,4,0,14,0,12,4,16,0,1,0.5714285714285714,0.8,0.6153846153846154,0.0,0.5,0.7619047619047619,0.19047619047619047,0.9523809523809523,0.0,0.047619047619047616
911289451483312220212831417777,428218548741497556983752813739,20,2,17,0,2,0,0,3,2,17,0,2.8,1.6666666666666667,9.5,0,1,1,15,0,9,5,14,0,1,0.42857142857142855,1.0,0.5384615384615384,0.0,0.5,0.7,0.25,0.95,0.0,0.05
104018575023957134651949707480,71215129677291154710929735250,20,2,17,0,2,0,0,7,1,17,0,4.0,1.0,9.5,0,6,0,15,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.8,0.15,0.95,0.0,0.05
696994516237308992498626216687,638161338095832596550262021873,20,2,17,0,2,0,0,6,1,17,0,3.0,1.0,9.5,0,5,0,15,0,9,3,12,0,1,0.42857142857142855,0.6,0.46153846153846156,0.0,0.5,0.75,0.2,0.95,0.0,0.05
681701084366935956986898572723,46650804611800395288854679378,20,2,17,0,2,0,0,6,1,17,0,4.0,1.0,9.5,0,5,0,15,0,12,2,14,0,1,0.5714285714285714,0.4,0.5384615384615384,0.0,0.5,0.8,0.15,0.95,0.0,0.05
104018575023957134651949707480,587486508382149827999966098994,20,2,17,0,2,0,0,10,1,17,0,5.666666666666667,1.0,9.5,0,9,0,15,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.85,0.1,0.95,0.0,0.05
696994516237308992498626216687,538661043260979325250117791844,20,2,17,0,2,0,0,8,1,17,0,3.0,1.0,9.5,0,7,0,15,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.75,0.2,0.95,0.0,0.05
488496392775427878672438958169,980875181644795468526847890661,21,3,17,0,2,0,0,7,2,17,0,2.0,1.2,10.0,0,6,1,14,0,11,3,14,0,1,0.5238095238095238,0.6,0.5384615384615384,0.0,0.5,0.6666666666666666,0.2857142857142857,0.9523809523809523,0.0,0.047619047619047616
681701084366935956986898572723,318437496397100157301776117436,20,2,17,0,2,0,0,6,1,17,0,4.0,1.0,9.5,0,5,0,15,0,12,3,15,0,1,0.5714285714285714,0.6,0.5769230769230769,0.0,0.5,0.8,0.15,0.95,0.0,0.05
696994516237308992498626216687,270507017727570620043203301245,20,2,17,0,2,0,0,9,1,17,0,3.0,1.0,9.5,0,8,0,15,0,10,3,13,0,1,0.47619047619047616,0.6,0.5,0.0,0.5,0.75,0.2,0.95,0.0,0.05
