domTLD,domSLD,Ldom,LTLD,LSLD,LOLD,Ddom,HwP,HIP,LCc,LCv,LCl,LCn,ACc,ACv,ACl,ACn,DCc,DCv,DCl,DCn,NCc,NCv,NCl,NCn,NCs,RAc,RAv,RAl,RAn,RAs,Rc,Rv,Rl,Rn,Rs
328970105063611084508420662788,604901416529081010779577448522,15,3,11,0,2,0,0,3,1,6,1,1.5,1.0,4.0,1.0,2,0,3,0,7,2,9,2,1,0.3333333333333333,0.4,0.34615384615384615,0.2,0.5,0.6,0.2,0.8,0.13333333333333333,0.06666666666666667
488496392775427878672438958169,559895695224654944887313333248,19,3,15,0,2,0,0,3,1,14,1,1.7142857142857142,1.0,8.5,1.0,2,0,11,0,11,4,15,1,1,0.5238095238095238,0.8,0.5769230769230769,0.1,0.5,0.631578947368421,0.2631578947368421,0.8947368421052632,0.05263157894736842,0.05263157894736842
328970105063611084508420662788,955474182921189076303498860006,18,3,14,0,2,0,0,2,1,4,1,1.25,1.0,2.0,1.0,1,0,3,0,9,2,11,2,1,0.42857142857142855,0.4,0.4230769230769231,0.2,0.5,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.2777777777777778,0.05555555555555555
488496392775427878672438958169,435882263680916199546173833396,14,3,10,0,2,0,0,5,1,10,0,2.5,1.0,6.5,0.0,4,0,7,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.7142857142857143,0.21428571428571427,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,863619683323148868265901188446,16,3,12,0,2,0,0,8,1,10,1,2.75,1.0,6.5,1.0,7,0,7,0,9,2,11,2,1,0.42857142857142855,0.4,0.4230769230769231,0.2,0.5,0.6875,0.125,0.8125,0.125,0.0625
488496392775427878672438958169,283698716963791930144897136349,15,3,11,0,2,0,0,2,1,3,2,1.1666666666666667,1.0,2.0,1.3333333333333333,1,0,2,1,7,3,10,3,1,0.3333333333333333,0.6,0.38461538461538464,0.3,0.5,0.4666666666666667,0.2,0.6666666666666666,0.26666666666666666,0.06666666666666667
328970105063611084508420662788,175900722982457367144555990001,17,3,13,0,2,0,0,2,1,3,2,1.3333333333333333,1.0,2.0,1.2,1,0,2,1,8,2,10,5,1,0.38095238095238093,0.4,0.38461538461538464,0.5,0.5,0.47058823529411764,0.11764705882352941,0.5882352941176471,0.35294117647058826,0.058823529411764705
488496392775427878672438958169,744220431703756886978686399835,17,3,13,0,2,0,0,4,1,4,1,2.4,1.0,3.5,1.0,3,0,1,0,11,2,13,2,1,0.5238095238095238,0.4,0.5,0.2,0.5,0.7058823529411765,0.11764705882352941,0.8235294117647058,0.11764705882352941,0.058823529411764705
328970105063611084508420662788,12058062997857704947154561734,16,3,12,0,2,0,0,3,1,6,2,1.8,1.0,4.0,1.5,2,0,3,1,7,3,10,3,1,0.3333333333333333,0.6,0.38461538461538464,0.3,0.5,0.5625,0.1875,0.75,0.1875,0.0625
328970105063611084508420662788,738280257317582249623449954539,17,3,13,0,2,0,0,12,1,13,0,4.666666666666667,1.0,8.0,0.0,11,0,10,0,9,2,11,0,1,0.42857142857142855,0.4,0.4230769230769231,0.0,0.5,0.8235294117647058,0.11764705882352941,0.9411764705882353,0.0,0.058823529411764705
328970105063611084508420662788,600874083655559340094978034956,15,3,11,0,2,0,0,2,1,3,2,1.25,1.0,2.25,1.25,1,0,2,1,4,3,7,5,1,0.19047619047619047,0.6,0.2692307692307692,0.5,0.5,0.3333333333333333,0.26666666666666666,0.6,0.3333333333333333,0.06666666666666667
488496392775427878672438958169,508929281111679292935787071320,15,3,11,0,2,0,0,4,1,7,1,1.8,1.0,3.0,1.0,3,0,6,0,7,3,10,2,1,0.3333333333333333,0.6,0.38461538461538464,0.2,0.5,0.6,0.2,0.8,0.13333333333333333,0.06666666666666667
328970105063611084508420662788,495523332645482335080036360840,14,3,10,0,2,0,0,3,1,8,1,1.8,1.0,4.0,1.0,2,0,7,0,9,3,12,1,1,0.42857142857142855,0.6,0.46153846153846156,0.1,0.5,0.6428571428571429,0.21428571428571427,0.8571428571428571,0.07142857142857142,0.07142857142857142
328970105063611084508420662788,752067086631136333887539445032,19,3,15,0,2,0,0,11,1,12,2,3.5,1.0,5.333333333333333,2.0,10,0,11,0,12,2,14,2,1,0.5714285714285714,0.4,0.5384615384615384,0.2,0.5,0.7368421052631579,0.10526315789473684,0.8421052631578947,0.10526315789473684,0.05263157894736842
328970105063611084508420662788,278527681728592327784219182604,16,3,12,0,2,0,0,7,1,7,1,3.0,1.0,4.333333333333333,1.0,6,0,4,0,9,1,10,2,1,0.42857142857142855,0.2,0.38461538461538464,0.2,0.5,0.75,0.0625,0.8125,0.125,0.0625
488496392775427878672438958169,709075538596256009162679274076,18,3,14,0,2,0,0,4,1,4,2,1.5,1.0,2.6,1.3333333333333333,3,0,3,1,8,3,11,3,1,0.38095238095238093,0.6,0.4230769230769231,0.3,0.5,0.5,0.2222222222222222,0.7222222222222222,0.2222222222222222,0.05555555555555555
488496392775427878672438958169,532318100509194487868038053062,14,3,10,0,2,0,0,7,1,10,0,2.75,1.0,6.5,0.0,6,0,7,0,10,2,12,0,1,0.47619047619047616,0.4,0.46153846153846156,0.0,0.5,0.7857142857142857,0.14285714285714285,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,343582680213977875450316837518,19,3,15,0,2,0,0,3,1,5,4,1.8333333333333333,1.0,3.25,2.5,2,0,3,3,8,1,9,3,1,0.38095238095238093,0.2,0.34615384615384615,0.3,0.5,0.5789473684210527,0.10526315789473684,0.6842105263157895,0.2631578947368421,0.05263157894736842
488496392775427878672438958169,292293648041179998259162354915,17,3,13,0,2,0,0,5,1,5,1,2.2,1.0,3.5,1.0,4,0,2,0,8,2,10,1,1,0.38095238095238093,0.4,0.38461538461538464,0.1,0.5,0.6470588235294118,0.17647058823529413,0.8235294117647058,0.11764705882352941,0.058823529411764705
328970105063611084508420662788,9430226712307914353692586754,18,3,14,0,2,0,0,3,1,3,1,1.4,1.0,2.0,1.0,2,0,2,0,6,3,9,4,1,0.2857142857142857,0.6,0.34615384615384615,0.4,0.5,0.3888888888888889,0.2777777777777778,0.6666666666666666,0.2777777777777778,0.05555555555555555
328970105063611084508420662788,490968914601519514496161189110,18,3,14,0,2,0,0,6,1,6,1,2.4,1.0,3.5,1.0,5,0,4,0,9,2,11,3,1,0.42857142857142855,0.4,0.4230769230769231,0.3,0.5,0.6666666666666666,0.1111111111111111,0.7777777777777778,0.16666666666666666,0.05555555555555555
488496392775427878672438958169,847398814023146512010118047381,19,3,15,0,2,0,0,3,1,3,2,1.4285714285714286,1.0,2.4,1.5,2,0,2,1,10,2,12,4,1,0.47619047619047616,0.4,0.46153846153846156,0.4,0.5,0.5263157894736842,0.10526315789473684,0.631578947368421,0.3157894736842105,0.05263157894736842
488496392775427878672438958169,434151967921829266488818782012,14,3,10,0,2,0,0,2,2,4,1,1.2,1.25,2.75,1.0,1,1,3,0,6,4,10,2,1,0.2857142857142857,0.8,0.38461538461538464,0.2,0.5,0.42857142857142855,0.35714285714285715,0.7857142857142857,0.14285714285714285,0.07142857142857142
328970105063611084508420662788,492876503140624167024485914146,14,3,10,0,2,0,0,2,1,3,1,1.1666666666666667,1.0,2.0,1.0,1,0,2,0,6,2,8,2,1,0.2857142857142857,0.4,0.3076923076923077,0.2,0.5,0.5,0.21428571428571427,0.7142857142857143,0.21428571428571427,0.07142857142857142
328970105063611084508420662788,304808897237716860917822992952,17,3,13,0,2,0,0,2,2,3,1,1.2,1.2,2.4,1.0,1,1,2,0,5,3,8,3,1,0.23809523809523808,0.6,0.3076923076923077,0.3,0.5,0.35294117647058826,0.35294117647058826,0.7058823529411765,0.23529411764705882,0.058823529411764705
488496392775427878672438958169,158887569529003107132572582199,17,3,13,0,2,0,0,4,1,5,1,1.8333333333333333,1.0,3.5,1.0,3,0,3,0,9,3,12,2,1,0.42857142857142855,0.6,0.46153846153846156,0.2,0.5,0.6470588235294118,0.17647058823529413,0.8235294117647058,0.11764705882352941,0.058823529411764705
488496392775427878672438958169,824165792493552846097907729702,18,3,14,0,2,0,0,5,1,9,1,2.6,1.0,5.0,1.0,4,0,6,0,10,1,11,2,1,0.47619047619047616,0.2,0.4230769230769231,0.2,0.5,0.7222222222222222,0.1111111111111111,0.8333333333333334,0.1111111111111111,0.05555555555555555
488496392775427878672438958169,597601448660522645914227713917,14,3,10,0,2,0,0,4,2,8,1,1.8,1.5,4.0,1.0,3,1,7,0,7,3,10,1,1,0.3333333333333333,0.6,0.38461538461538464,0.1,0.5,0.6428571428571429,0.21428571428571427,0.8571428571428571,0.07142857142857142,0.07142857142857142
328970105063611084508420662788,33883946332512115867288243832,16,3,12,0,2,0,0,5,1,6,1,2.25,1.0,4.333333333333333,1.0,4,0,3,0,5,3,8,2,1,0.23809523809523808,0.6,0.3076923076923077,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
488496392775427878672438958169,409969603695042388332492097411,16,3,12,0,2,0,0,7,1,8,1,2.5,1.0,3.25,1.0,6,0,7,0,10,2,12,2,1,0.47619047619047616,0.4,0.46153846153846156,0.2,0.5,0.625,0.1875,0.8125,0.125,0.0625
328970105063611084508420662788,459642377688408180259721431161,19,3,15,0,2,0,0,6,1,7,1,2.1666666666666665,1.0,3.0,1.0,5,0,6,0,9,2,11,2,1,0.42857142857142855,0.4,0.4230769230769231,0.2,0.5,0.6842105263157895,0.10526315789473684,0.7894736842105263,0.15789473684210525,0.05263157894736842
488496392775427878672438958169,290653869820066957102775321951,16,3,12,0,2,0,0,3,3,7,1,1.4,2.0,4.333333333333333,1.0,2,2,4,0,6,5,11,2,1,0.2857142857142857,1.0,0.4230769230769231,0.2,0.5,0.4375,0.375,0.8125,0.125,0.0625
488496392775427878672438958169,410307957907215718465703556319,17,3,13,0,2,0,0,3,1,5,1,1.5714285714285714,1.0,2.6,1.0,2,0,4,0,9,2,11,3,1,0.42857142857142855,0.4,0.4230769230769231,0.3,0.5,0.6470588235294118,0.11764705882352941,0.7647058823529411,0.17647058823529413,0.058823529411764705
488496392775427878672438958169,646316491647975413689181764566,17,3,13,0,2,0,0,10,1,11,1,3.25,1.0,5.0,1.0,9,0,10,0,10,2,12,1,1,0.47619047619047616,0.4,0.46153846153846156,0.1,0.5,0.7647058823529411,0.11764705882352941,0.8823529411764706,0.058823529411764705,0.058823529411764705
488496392775427878672438958169,947039742317831366044843337354,16,3,12,0,2,0,0,5,1,10,1,2.2,1.0,4.666666666666667,1.0,4,0,9,0,8,3,11,1,1,0.38095238095238093,0.6,0.4230769230769231,0.1,0.5,0.6875,0.1875,0.875,0.0625,0.0625
328970105063611084508420662788,557611340616712382971931447583,16,3,12,0,2,0,0,5,1,6,1,2.25,1.0,3.25,1.0,4,0,5,0,8,3,11,2,1,0.38095238095238093,0.6,0.4230769230769231,0.2,0.5,0.5625,0.25,0.8125,0.125,0.0625
488496392775427878672438958169,736779349308478270615369163668,19,3,15,0,2,0,0,3,1,5,1,1.5714285714285714,1.0,3.0,1.0,2,0,4,0,10,3,13,2,1,0.47619047619047616,0.6,0.5,0.2,0.5,0.5789473684210527,0.21052631578947367,0.7894736842105263,0.15789473684210525,0.05263157894736842
328970105063611084508420662788,339159767002842490796220580545,16,3,12,0,2,0,0,2,1,4,2,1.5,1.0,2.75,1.3333333333333333,1,0,2,1,7,1,8,3,1,0.3333333333333333,0.2,0.3076923076923077,0.3,0.5,0.5625,0.125,0.6875,0.25,0.0625
488496392775427878672438958169,89846256736559518682737355159,18,3,14,0,2,0,0,6,1,6,1,2.1666666666666665,1.0,2.8,1.0,5,0,5,0,9,1,10,3,1,0.42857142857142855,0.2,0.38461538461538464,0.3,0.5,0.7222222222222222,0.05555555555555555,0.7777777777777778,0.16666666666666666,0.05555555555555555
488496392775427878672438958169,101468497556543834317030547805,14,3,10,0,2,0,0,6,1,8,1,2.25,1.0,4.0,1.0,5,0,7,0,8,2,10,1,1,0.38095238095238093,0.4,0.38461538461538464,0.1,0.5,0.6428571428571429,0.21428571428571427,0.8571428571428571,0.07142857142857142,0.07142857142857142
328970105063611084508420662788,487639193288552674562589391069,18,3,14,0,2,0,0,7,1,12,1,2.6,1.0,5.333333333333333,1.0,6,0,11,0,10,2,12,1,1,0.47619047619047616,0.4,0.46153846153846156,0.1,0.5,0.7222222222222222,0.16666666666666666,0.8888888888888888,0.05555555555555555,0.05555555555555555
328970105063611084508420662788,283600806348788195046768671164,18,3,14,0,2,0,0,7,1,7,1,3.75,1.0,5.333333333333333,1.0,6,0,4,0,10,1,11,1,1,0.47619047619047616,0.2,0.4230769230769231,0.1,0.5,0.8333333333333334,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.05555555555555555
488496392775427878672438958169,99747171023459168246528870683,19,3,15,0,2,0,0,5,2,8,1,1.8333333333333333,1.3333333333333333,3.75,1.0,4,1,7,0,7,2,9,3,1,0.3333333333333333,0.4,0.34615384615384615,0.3,0.5,0.5789473684210527,0.21052631578947367,0.7894736842105263,0.15789473684210525,0.05263157894736842
488496392775427878672438958169,202480507426427197633475942051,18,3,14,0,2,0,0,10,1,10,1,3.5,1.0,5.333333333333333,1.0,9,0,7,0,11,2,13,1,1,0.5238095238095238,0.4,0.5,0.1,0.5,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.05555555555555555
488496392775427878672438958169,99605082542116858833447859004,14,3,10,0,2,0,0,3,1,10,0,1.5,1.0,6.5,0.0,2,0,7,0,8,3,11,0,1,0.38095238095238093,0.6,0.4230769230769231,0.0,0.5,0.6428571428571429,0.2857142857142857,0.9285714285714286,0.0,0.07142857142857142
328970105063611084508420662788,593041956817181253212435748521,16,3,12,0,2,0,0,5,1,8,1,2.0,1.0,4.333333333333333,1.0,4,0,6,0,9,2,11,1,1,0.42857142857142855,0.4,0.4230769230769231,0.1,0.5,0.625,0.1875,0.8125,0.125,0.0625
328970105063611084508420662788,88999431709782676869337330812,19,3,15,0,2,0,0,6,2,7,1,2.4,1.3333333333333333,4.0,1.0,5,1,6,0,11,4,15,2,1,0.5238095238095238,0.8,0.5769230769230769,0.2,0.5,0.631578947368421,0.21052631578947367,0.8421052631578947,0.10526315789473684,0.05263157894736842
488496392775427878672438958169,756331241273817105910748987234,14,3,10,0,2,0,0,2,1,7,2,1.3333333333333333,1.0,3.6666666666666665,2.0,1,0,6,0,7,1,8,1,1,0.3333333333333333,0.2,0.3076923076923077,0.1,0.5,0.5714285714285714,0.21428571428571427,0.7857142857142857,0.14285714285714285,0.07142857142857142
488496392775427878672438958169,387761517993646899303642020164,15,3,11,0,2,0,0,4,1,6,1,1.8,1.0,3.0,1.0,3,0,5,0,8,3,11,2,1,0.38095238095238093,0.6,0.4230769230769231,0.2,0.5,0.6,0.2,0.8,0.13333333333333333,0.06666666666666667
488496392775427878672438958169,803552375646308653160528883215,19,3,15,0,2,0,0,4,1,8,1,2.2,1.0,5.0,1.0,3,0,5,0,10,1,11,3,1,0.47619047619047616,0.2,0.4230769230769231,0.3,0.5,0.5789473684210527,0.21052631578947367,0.7894736842105263,0.15789473684210525,0.05263157894736842
488496392775427878672438958169,36708491662747380783101557776,16,3,12,0,2,0,0,2,2,4,3,1.1666666666666667,1.3333333333333333,2.75,2.0,1,1,3,2,5,2,7,3,1,0.23809523809523808,0.4,0.2692307692307692,0.3,0.5,0.4375,0.25,0.6875,0.25,0.0625
328970105063611084508420662788,202108834263323847215771816900,19,3,15,0,2,0,0,4,1,7,3,1.8333333333333333,1.0,5.0,3.0,3,0,4,0,10,3,13,3,1,0.47619047619047616,0.6,0.5,0.3,0.5,0.5789473684210527,0.21052631578947367,0.7894736842105263,0.15789473684210525,0.05263157894736842
328970105063611084508420662788,212277685257950904285483983120,16,3,12,0,2,0,0,2,1,3,2,1.4,1.0,2.75,1.3333333333333333,1,0,1,1,5,3,8,4,1,0.23809523809523808,0.6,0.3076923076923077,0.4,0.5,0.4375,0.25,0.6875,0.25,0.0625
