@RELATION simda

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
578982756351224124836033898334,198111503778816076441614637670,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,214941361864166125141506968126,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,955472215696347022096518575728,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,6,5,11,0,1,0.2857142857142857,1.0,0.4230769230769231,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
164890544466941896389037254793,71123915428310966014500092799,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
164890544466941896389037254793,121233614732828811298953789416,12,4,7,0,2,0,0,3,1,7,0,1.75,1.0,5.5,0,2,0,3,0,6,2,8,0,1,0.2857142857142857,0.4,0.3076923076923077,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,866817630882497161903368630786,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,128474161060286670127520869410,14,2,11,0,2,0,0,3,2,11,0,2.0,1.25,6.5,0,2,1,9,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.5714285714285714,0.35714285714285715,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,162247484511399891673090140640,12,4,7,0,2,0,0,5,1,7,0,2.6666666666666665,1.0,5.5,0,4,0,3,0,6,3,9,0,1,0.2857142857142857,0.6,0.34615384615384615,0.0,0.5,0.6666666666666666,0.25,0.9166666666666666,0.0,0.08333333333333333
164890544466941896389037254793,722786133027766845445110388288,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,565490132844612644151856074902,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,83829988937912568211608318346,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,329560004622222122956866497464,14,2,11,0,2,0,0,5,2,11,0,2.0,1.25,6.5,0,4,1,9,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5714285714285714,0.35714285714285715,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,349036368311541315631705332548,14,2,11,0,2,0,0,5,2,11,0,2.0,1.25,6.5,0,4,1,9,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5714285714285714,0.35714285714285715,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,114240215550394582142708909513,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,4,4,8,0,1,0.19047619047619047,0.8,0.3076923076923077,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,731154122758429618312789122302,12,4,7,0,2,0,0,3,1,7,0,1.75,1.0,5.5,0,2,0,3,0,5,4,9,0,1,0.23809523809523808,0.8,0.34615384615384615,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,94432653837678752643556519452,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,971414700121752901030339685673,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,3,4,7,0,1,0.14285714285714285,0.8,0.2692307692307692,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,832022168803275403212791050005,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,5,4,9,0,1,0.23809523809523808,0.8,0.34615384615384615,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
164890544466941896389037254793,78272167187932459462218041529,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,482529245052169568691836156540,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,298727936840738163127866804587,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,783629584897785353961126336454,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,5,3,8,0,1,0.23809523809523808,0.6,0.3076923076923077,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,625756110498466779206655383525,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,614921695249185173025153221073,12,4,7,0,2,0,0,3,1,7,0,1.75,1.0,5.5,0,2,0,3,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
578982756351224124836033898334,921449045040183991365210179882,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,6,4,10,0,1,0.2857142857142857,0.8,0.38461538461538464,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,75630198201069092911109766819,14,2,11,0,2,0,0,3,2,11,0,1.4,1.2,6.5,0,2,1,9,0,7,4,11,0,1,0.3333333333333333,0.8,0.4230769230769231,0.0,0.5,0.5,0.42857142857142855,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,534800020378605740876918849368,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,6,5,11,0,1,0.2857142857142857,1.0,0.4230769230769231,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
578982756351224124836033898334,38787277019358813984945457789,14,2,11,0,2,0,0,1,2,11,0,1.0,1.1666666666666667,6.5,0,0,1,9,0,5,4,9,0,1,0.23809523809523808,0.8,0.34615384615384615,0.0,0.5,0.42857142857142855,0.5,0.9285714285714286,0.0,0.07142857142857142
164890544466941896389037254793,435050363911917278584440324630,12,4,7,0,2,0,0,2,1,7,0,1.2,1.0,5.5,0,1,0,3,0,4,4,8,0,1,0.19047619047619047,0.8,0.3076923076923077,0.0,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,0.08333333333333333
488496392775427878672438958169,157183275882462719257068476554,11,3,7,0,2,0,0,3,1,7,0,1.4,1.0,5.0,0,2,0,4,0,6,2,8,0,1,0.2857142857142857,0.4,0.3076923076923077,0.0,0.5,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.0,0.09090909090909091
