@RELATION torpig

@ATTRIBUTE domtld REAL
@ATTRIBUTE domsld REAL
@ATTRIBUTE ldom REAL
@ATTRIBUTE ltld REAL
@ATTRIBUTE lsld REAL
@ATTRIBUTE lold REAL
@ATTRIBUTE ddom REAL
@ATTRIBUTE hwp REAL
@ATTRIBUTE hip REAL
@ATTRIBUTE lcc REAL
@ATTRIBUTE lcv REAL
@ATTRIBUTE lcl REAL
@ATTRIBUTE lcn REAL
@ATTRIBUTE acc REAL
@ATTRIBUTE acv REAL
@ATTRIBUTE acl REAL
@ATTRIBUTE acn REAL
@ATTRIBUTE dcc REAL
@ATTRIBUTE dcv REAL
@ATTRIBUTE dcl REAL
@ATTRIBUTE dcn REAL
@ATTRIBUTE ncc REAL
@ATTRIBUTE ncv REAL
@ATTRIBUTE ncl REAL
@ATTRIBUTE ncn REAL
@ATTRIBUTE ncs REAL
@ATTRIBUTE rac REAL
@ATTRIBUTE rav REAL
@ATTRIBUTE ral REAL
@ATTRIBUTE ran REAL
@ATTRIBUTE ras REAL
@ATTRIBUTE rc REAL
@ATTRIBUTE rv REAL
@ATTRIBUTE rl REAL
@ATTRIBUTE rn REAL
@ATTRIBUTE rs REAL

@DATA
307557349522485967192156168435,373300489846785504700213160445,13,3,9,0,2,0,0,5,1,9,0,1.8,1.0,6.0,0.0,4,0,6,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
488496392775427878672438958169,569768659904517410300702770929,13,3,9,0,2,0,0,4,1,5,1,2.0,1.0,3.6666666666666665,1.0,3,0,2,0,7,2,9,1,1,0.3333333333333333,0.4,0.34615384615384615,0.1,0.5,0.6153846153846154,0.23076923076923078,0.8461538461538461,0.07692307692307693,0.07692307692307693
488496392775427878672438958169,201850039707782995510554498863,13,3,9,0,2,0,0,3,1,9,0,1.8,1.0,6.0,0.0,2,0,6,0,7,3,10,0,1,0.3333333333333333,0.6,0.38461538461538464,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
307557349522485967192156168435,285751615157518813354128033474,13,3,9,0,2,0,0,5,1,5,1,2.25,1.0,3.6666666666666665,1.0,4,0,2,0,7,2,9,1,1,0.3333333333333333,0.4,0.34615384615384615,0.1,0.5,0.6923076923076923,0.15384615384615385,0.8461538461538461,0.07692307692307693,0.07692307692307693
307557349522485967192156168435,255707658874018977008635731198,12,3,8,0,2,0,0,6,1,8,0,2.25,1.0,5.5,0.0,5,0,5,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.75,0.16666666666666666,0.9166666666666666,0.0,0.08333333333333333
328970105063611084508420662788,479994848407600794847345689270,12,3,8,0,2,0,0,3,1,8,0,1.4,1.0,5.5,0.0,2,0,5,0,5,4,9,0,1,0.23809523809523808,0.8,0.34615384615384615,0.0,0.5,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0,0.08333333333333333
307557349522485967192156168435,900292853737072676321729127967,13,3,9,0,2,0,0,2,2,5,1,1.2,1.25,3.6666666666666665,1.0,1,1,2,0,5,4,9,1,1,0.23809523809523808,0.8,0.34615384615384615,0.1,0.5,0.46153846153846156,0.38461538461538464,0.8461538461538461,0.07692307692307693,0.07692307692307693
488496392775427878672438958169,368384962454654192892101581779,12,3,8,0,2,0,0,4,1,8,0,1.6,1.0,5.5,0.0,3,0,5,0,7,2,9,0,1,0.3333333333333333,0.4,0.34615384615384615,0.0,0.5,0.6666666666666666,0.25,0.9166666666666666,0.0,0.08333333333333333
307557349522485967192156168435,257859841161945349458316741263,13,3,9,0,2,0,0,4,2,5,1,1.75,1.3333333333333333,3.6666666666666665,1.0,3,1,2,0,7,3,10,1,1,0.3333333333333333,0.6,0.38461538461538464,0.1,0.5,0.5384615384615384,0.3076923076923077,0.8461538461538461,0.07692307692307693,0.07692307692307693
488496392775427878672438958169,279152288776307608479941149902,13,3,9,0,2,0,0,4,1,9,0,1.8,1.0,6.0,0.0,3,0,6,0,8,2,10,0,1,0.38095238095238093,0.4,0.38461538461538464,0.0,0.5,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.0,0.07692307692307693
